=== economy-table62.xlsx ===
Cell A1 | value='Daily Sales Figures - ALL CAFÉ'S' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10] | col_header=True | row_header=True | metadata=True
Cell K11 | value='-403' | fill=00000000 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Telford' | fill=00000000 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='1142' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='1254' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='1164' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='1417' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='1281' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='2684' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='1218' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='10160' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='10400' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='-240' | fill=00000000 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Pavilions' | fill=00000000 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='635' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='740' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='526' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='680' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='692' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='1097' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='446' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='4816' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='5800' | fill=00000000 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='-984' | fill=00000000 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Coventry' | fill=00000000 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='571' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='667' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='532' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='577' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='639' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='835' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='0' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='3821' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='4800' | fill=00000000 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='-979' | fill=00000000 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Leamington' | fill=00000000 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='1273' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='1069' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='967' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='994' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='1261' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='2305' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='1158' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='9027' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='8900' | fill=00000000 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='127' | fill=00000000 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Redditch' | fill=00000000 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='766' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='818' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='862' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='663' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='912' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='1422' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='422' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='5865' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='6200' | fill=00000000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='-335' | fill=00000000 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Henley Street' | fill=00000000 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='423' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='412' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='365' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='353' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='394' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='798' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='696' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='3441' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='3700' | fill=00000000 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='-259' | fill=00000000 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Gt.Western' | fill=00000000 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='360' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='495' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='383' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='502' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='608' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='571' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='0' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='2919' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='3100' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='-181' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Tamworth' | fill=00000000 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='587' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='740' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='513' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='695' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='678' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='1191' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='163' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='4567' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='5200' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='-633' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Burton' | fill=00000000 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='1107' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='1195' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='1020' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='1271' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='1330' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='1949' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='851' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='8723' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='7900' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='823' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Fosse Park' | fill=00000000 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='1048' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='1348' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='1391' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='1484' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='1604' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='2275' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='1424' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='10574' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='10400' | fill=00000000 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='174' | fill=00000000 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Sutton Coldfield' | fill=00000000 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='735' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='870' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='628' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='792' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='940' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='1415' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='388' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='5768' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='5700' | fill=00000000 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='68' | fill=00000000 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A23 | value='Wolverhampton' | fill=00000000 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='635' | fill=00000000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='821' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='594' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='694' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='735' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='1038' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='407' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='4924' | fill=00000000 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='4900' | fill=00000000 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='24' | fill=00000000 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Sparkhill' | fill=00000000 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='110' | fill=00000000 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='105' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='112' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='129' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='148' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='114' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='0' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='718' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='1000' | fill=00000000 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='-282' | fill=00000000 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Bullring' | fill=00000000 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='1520' | fill=00000000 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='1830' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='1667' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='1669' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='1447' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='3504' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='1921' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='13558' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='15700' | fill=00000000 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='-2142' | fill=00000000 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Cribbs' | fill=00000000 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='2559' | fill=00000000 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='2462' | fill=00000000 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='2537' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='2655' | fill=00000000 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='2732' | fill=00000000 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='5183' | fill=00000000 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='2963' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='21091' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='19900' | fill=00000000 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='1191' | fill=00000000 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A27 | value='Halesowen' | fill=00000000 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='766' | fill=00000000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='949' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='844' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='906' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='1051' | fill=00000000 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='1580' | fill=00000000 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
