=== environment-table14.xlsx ===
Cell A1 | value='June 2008 Agricultural and Horticultural Survey - England' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell AJ6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[35] | col_header=True | row_header=False | metadata=False
Cell AM6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[38] | col_header=True | row_header=False | metadata=False
Cell AP6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[41] | col_header=True | row_header=False | metadata=False
Cell AS6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[44] | col_header=True | row_header=False | metadata=False
Cell AV6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[47] | col_header=True | row_header=False | metadata=False
Cell AY6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[50] | col_header=True | row_header=False | metadata=False
Cell BB6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[53] | col_header=True | row_header=False | metadata=False
Cell BE6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[56] | col_header=True | row_header=False | metadata=False
Cell BH6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[59] | col_header=True | row_header=False | metadata=False
Cell BK6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[62] | col_header=True | row_header=False | metadata=False
Cell BN6 | value='number of livestock' | fill=FFFFFF00 | rows=[5] | cols=[65] | col_header=True | row_header=False | metadata=False
Cell A7 | value='COUNTY/REGION FILTER (select a county or region)' | fill=FFFFFF00 | rows=[6] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B7 | value='2007' | fill=46 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='2008' | fill=46 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E7 | value='2007' | fill=46 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='2008' | fill=46 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H7 | value='2007' | fill=46 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='2008' | fill=46 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K7 | value='2007' | fill=46 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='2008' | fill=46 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N7 | value='2007' | fill=46 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='2008' | fill=46 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q7 | value='2007' | fill=46 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='2008' | fill=46 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T7 | value='2007' | fill=46 | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='2008' | fill=46 | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W7 | value='2007' | fill=46 | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='2008' | fill=46 | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z7 | value='2007' | fill=52 | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA7 | value='2008' | fill=52 | rows=[6] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[27] | col_header=True | row_header=False | metadata=False
Cell AC7 | value='2007' | fill=52 | rows=[6] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD7 | value='2008' | fill=52 | rows=[6] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[30] | col_header=True | row_header=False | metadata=False
Cell AF7 | value='2007' | fill=52 | rows=[6] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG7 | value='2008' | fill=52 | rows=[6] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[33] | col_header=True | row_header=False | metadata=False
Cell AI7 | value='2007' | fill=52 | rows=[6] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ7 | value='2008' | fill=52 | rows=[6] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[36] | col_header=True | row_header=False | metadata=False
Cell AL7 | value='2007' | fill=52 | rows=[6] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM7 | value='2008' | fill=52 | rows=[6] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[39] | col_header=True | row_header=False | metadata=False
Cell AO7 | value='2007' | fill=52 | rows=[6] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP7 | value='2008' | fill=52 | rows=[6] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[42] | col_header=True | row_header=False | metadata=False
Cell AR7 | value='2007' | fill=52 | rows=[6] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS7 | value='2008' | fill=52 | rows=[6] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[45] | col_header=True | row_header=False | metadata=False
Cell AU7 | value='2007' | fill=52 | rows=[6] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV7 | value='2008' | fill=52 | rows=[6] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[48] | col_header=True | row_header=False | metadata=False
Cell AX7 | value='2007' | fill=52 | rows=[6] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY7 | value='2008' | fill=52 | rows=[6] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[51] | col_header=True | row_header=False | metadata=False
Cell BA7 | value='2007' | fill=52 | rows=[6] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB7 | value='2008' | fill=52 | rows=[6] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[54] | col_header=True | row_header=False | metadata=False
Cell BD7 | value='2007' | fill=52 | rows=[6] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE7 | value='2008' | fill=52 | rows=[6] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[57] | col_header=True | row_header=False | metadata=False
Cell BG7 | value='2007' | fill=52 | rows=[6] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH7 | value='2008' | fill=52 | rows=[6] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[60] | col_header=True | row_header=False | metadata=False
Cell BJ7 | value='2007' | fill=52 | rows=[6] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK7 | value='2008' | fill=52 | rows=[6] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[63] | col_header=True | row_header=False | metadata=False
Cell BM7 | value='2007' | fill=52 | rows=[6] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN7 | value='2008' | fill=52 | rows=[6] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO7 | value='% change' | fill=FFFFFF00 | rows=[6] | cols=[66] | col_header=True | row_header=False | metadata=False
Cell A8 | value='ENGLAND' | fill=00000000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='6101505.9471' | fill=46 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='6207455.8208' | fill=46 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='1.73645448547594' | fill=46 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='843862.017' | fill=46 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='825002.6186' | fill=46 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='-2.23489125236928' | fill=46 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='6945367.9641' | fill=46 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='7032458.4394' | fill=46 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='1.25393608733421' | fill=46 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='181021.9671' | fill=46 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='181104.9293' | fill=46 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='0.0458299074576678' | fill=46 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='385823.0199' | fill=46 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='357386.2056' | fill=46 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='-7.37042966160248' | fill=46 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='7512212.9511' | fill=46 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='7570949.5743' | fill=46 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='0.78188176483202' | fill=46 | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='7924364.0109' | fill=46 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='7964265.4023' | fill=46 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='0.503527997264077' | fill=46 | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='15436576.962' | fill=46 | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='15535214.991' | fill=46 | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y8 | value='0.638989001530695' | fill=46 | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z8 | value='6354294.792' | fill=52 | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA8 | value='6928734.245' | fill=52 | rows=[7] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB8 | value='9.04017631859343' | fill=52 | rows=[7] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC8 | value='21065075.336' | fill=52 | rows=[7] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD8 | value='19569238.1' | fill=52 | rows=[7] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE8 | value='-7.10102960535644' | fill=52 | rows=[7] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF8 | value='27419370.128' | fill=52 | rows=[7] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG8 | value='26497972.345' | fill=52 | rows=[7] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH8 | value='-3.36039004068547' | fill=52 | rows=[7] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI8 | value='1614436.412' | fill=52 | rows=[7] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ8 | value='1715813.275' | fill=52 | rows=[7] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK8 | value='6.27939646594145' | fill=52 | rows=[7] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL8 | value='4060628.596' | fill=52 | rows=[7] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM8 | value='4120330.383' | fill=52 | rows=[7] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN8 | value='1.47025972921558' | fill=52 | rows=[7] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO8 | value='260019.175' | fill=52 | rows=[7] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP8 | value='303105.83' | fill=52 | rows=[7] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ8 | value='16.5705683052029' | fill=52 | rows=[7] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR8 | value='6706076.183' | fill=52 | rows=[7] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS8 | value='6139249.488' | fill=52 | rows=[7] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT8 | value='-8.45243447184382' | fill=52 | rows=[7] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU8 | value='86020025.695' | fill=52 | rows=[7] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV8 | value='84416107.63' | fill=52 | rows=[7] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW8 | value='-1.86458682387167' | fill=52 | rows=[7] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX8 | value='119374480.006' | fill=52 | rows=[7] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY8 | value='117053329.463' | fill=52 | rows=[7] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ8 | value='-1.94442777290702' | fill=52 | rows=[7] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA8 | value='2377247.842' | fill=52 | rows=[7] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB8 | value='2059498.951' | fill=52 | rows=[7] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC8 | value='-13.3662500554707' | fill=52 | rows=[7] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD8 | value='106901.832' | fill=52 | rows=[7] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE8 | value='105185.788' | fill=52 | rows=[7] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF8 | value='-1.60525219062663' | fill=52 | rows=[7] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG8 | value='3182678.531' | fill=52 | rows=[7] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH8 | value='4902686.05' | fill=52 | rows=[7] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI8 | value='54.042766250086' | fill=52 | rows=[7] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ8 | value='3701378.927' | fill=52 | rows=[7] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK8 | value='3962440.758' | fill=52 | rows=[7] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL8 | value='7.05309659315515' | fill=52 | rows=[7] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM8 | value='128742686.951' | fill=52 | rows=[7] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN8 | value='128083142.76' | fill=52 | rows=[7] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO8 | value='-0.512296431447811' | fill=52 | rows=[7] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell A10 | value='HARTLEPOOL AND STOCKTON-ON-TEES' | fill=00000000 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='6524.48' | fill=46 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='6226.3835' | fill=46 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='-4.56889284663298' | fill=46 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='208.3465' | fill=46 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='214.0365' | fill=46 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='2.73102739906838' | fill=46 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='6732.8265' | fill=46 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='6440.42' | fill=46 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='-4.34299769940604' | fill=46 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='148.2136' | fill=46 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='145.6791' | fill=46 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='-1.71003200785893' | fill=46 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='293.8531' | fill=46 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='238.8292' | fill=46 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='-18.7249683600411' | fill=46 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='7174.8932' | fill=46 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='6824.9283' | fill=46 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='-4.8776321855216' | fill=46 | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='8844.21' | fill=46 | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='8310.6662' | fill=46 | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V10 | value='-6.0326903137759' | fill=46 | rows=[9] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W10 | value='16019.1032' | fill=46 | rows=[9] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X10 | value='15135.5951' | fill=46 | rows=[9] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y10 | value='-5.5153405841096' | fill=46 | rows=[9] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z10 | value='#' | fill=52 | rows=[9] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA10 | value='#' | fill=52 | rows=[9] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB10 | value='-' | fill=52 | rows=[9] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC10 | value='#' | fill=52 | rows=[9] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD10 | value='#' | fill=52 | rows=[9] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE10 | value='-' | fill=52 | rows=[9] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF10 | value='#' | fill=52 | rows=[9] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG10 | value='#' | fill=52 | rows=[9] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH10 | value='-' | fill=52 | rows=[9] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI10 | value='#' | fill=52 | rows=[9] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ10 | value='#' | fill=52 | rows=[9] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK10 | value='-' | fill=52 | rows=[9] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL10 | value='0' | fill=52 | rows=[9] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM10 | value='0' | fill=52 | rows=[9] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN10 | value='-' | fill=52 | rows=[9] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO10 | value='#' | fill=52 | rows=[9] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP10 | value='#' | fill=52 | rows=[9] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ10 | value='-' | fill=52 | rows=[9] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR10 | value='#' | fill=52 | rows=[9] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS10 | value='#' | fill=52 | rows=[9] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT10 | value='-' | fill=52 | rows=[9] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU10 | value='#' | fill=52 | rows=[9] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV10 | value='323704.686' | fill=52 | rows=[9] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW10 | value='-' | fill=52 | rows=[9] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX10 | value='648785.014' | fill=52 | rows=[9] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY10 | value='325374.308' | fill=52 | rows=[9] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ10 | value='-49.8486708264195' | fill=52 | rows=[9] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA10 | value='#' | fill=52 | rows=[9] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB10 | value='#' | fill=52 | rows=[9] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC10 | value='-' | fill=52 | rows=[9] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD10 | value='25.453' | fill=52 | rows=[9] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE10 | value='36.421' | fill=52 | rows=[9] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF10 | value='43.091187679252' | fill=52 | rows=[9] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG10 | value='#' | fill=52 | rows=[9] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH10 | value='#' | fill=52 | rows=[9] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI10 | value='-' | fill=52 | rows=[9] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ10 | value='0' | fill=52 | rows=[9] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK10 | value='0' | fill=52 | rows=[9] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL10 | value='-' | fill=52 | rows=[9] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM10 | value='648839.635' | fill=52 | rows=[9] | cols=[64] | col_header=False | row_header=False | metadata=False
