=== economy-table30.xlsx ===
Cell A1 | value='Column1' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B10 | value='182281' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E10 | value='182281' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Alina Private Limited' | fill=FFAAAAAA | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='315139' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E11 | value='315139' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A12 | value='India' | fill=FFAAAAAA | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='315139' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E12 | value='315139' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Covered Flat Sheet' | fill=FFAAAAAA | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='201537' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E13 | value='201537' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='113602' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E14 | value='113602' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Alpine Shoes Private Limited' | fill=FFAAAAAA | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='3502112.4' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E15 | value='3502112.4' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A16 | value='India' | fill=FFAAAAAA | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='3502112.4' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E16 | value='3502112.4' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Die Cut' | fill=FFAAAAAA | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='3200565.4' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E17 | value='3200565.4' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='301547' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E18 | value='301547' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Apache Footwear India Private Limited' | fill=FFAAAAAA | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='50994773.475' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E19 | value='50994773.475' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A20 | value='India' | fill=FFAAAAAA | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='50994773.475' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E20 | value='50994773.475' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Covered Flat Sheet' | fill=FFAAAAAA | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='22488286.8' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E21 | value='22488286.8' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='28506486.675' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E22 | value='28506486.675' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A23 | value='Array Fashions Private Limited' | fill=FFAAAAAA | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='63012.9' | fill=00000000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E23 | value='63012.9' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A24 | value='India' | fill=FFAAAAAA | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='63012.9' | fill=00000000 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E24 | value='63012.9' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A25 | value='DIECUT' | fill=FFAAAAAA | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='63012.9' | fill=00000000 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E25 | value='63012.9' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Aston Shoes Private Limited' | fill=FFAAAAAA | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='141283.31' | fill=00000000 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E26 | value='141283.31' | fill=00000000 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A27 | value='India' | fill=FFAAAAAA | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='141283.31' | fill=00000000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E27 | value='141283.31' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[27] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B28 | value='141283.31' | fill=00000000 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E28 | value='141283.31' | fill=00000000 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A29 | value='At Exports' | fill=FFAAAAAA | rows=[28] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B29 | value='305244' | fill=00000000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E29 | value='305244' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A30 | value='India' | fill=FFAAAAAA | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B30 | value='305244' | fill=00000000 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E30 | value='305244' | fill=00000000 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A31 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B31 | value='305244' | fill=00000000 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E31 | value='305244' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A32 | value='Basant Overseas' | fill=FFAAAAAA | rows=[31] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B32 | value='24705' | fill=00000000 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E32 | value='24705' | fill=00000000 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A33 | value='India' | fill=FFAAAAAA | rows=[32] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B33 | value='24705' | fill=00000000 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E33 | value='24705' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A34 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[33] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B34 | value='24705' | fill=00000000 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E34 | value='24705' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A35 | value='Bata India Limited- Kolkata' | fill=FFAAAAAA | rows=[34] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B35 | value='20730' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E35 | value='20730' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A36 | value='India' | fill=FFAAAAAA | rows=[35] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B36 | value='20730' | fill=00000000 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E36 | value='20730' | fill=00000000 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A37 | value='Covered Flat Sheet' | fill=FFAAAAAA | rows=[36] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B37 | value='20730' | fill=00000000 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E37 | value='20730' | fill=00000000 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A38 | value='Bbk Shoes' | fill=FFAAAAAA | rows=[37] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B38 | value='1280168.56' | fill=00000000 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E38 | value='1280168.56' | fill=00000000 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A39 | value='India' | fill=FFAAAAAA | rows=[38] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B39 | value='1280168.56' | fill=00000000 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E39 | value='1280168.56' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A40 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[39] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B40 | value='1280168.56' | fill=00000000 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E40 | value='1280168.56' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A41 | value='Bright Sports Shoes Manufacturing Co' | fill=FFAAAAAA | rows=[40] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B41 | value='442240' | fill=00000000 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E41 | value='442240' | fill=00000000 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A42 | value='India' | fill=FFAAAAAA | rows=[41] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B42 | value='442240' | fill=00000000 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E42 | value='442240' | fill=00000000 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A43 | value='Covered Flat Sheet' | fill=FFAAAAAA | rows=[42] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B43 | value='442240' | fill=00000000 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E43 | value='442240' | fill=00000000 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A44 | value='Delta Shoes Private Limited' | fill=FFAAAAAA | rows=[43] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B44 | value='3213284.24' | fill=00000000 | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E44 | value='3213284.24' | fill=00000000 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A45 | value='India' | fill=FFAAAAAA | rows=[44] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B45 | value='3213284.24' | fill=00000000 | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E45 | value='3213284.24' | fill=00000000 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A46 | value='DIECUT' | fill=FFAAAAAA | rows=[45] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B46 | value='2100175.8' | fill=00000000 | rows=[45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E46 | value='2100175.8' | fill=00000000 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A47 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[46] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B47 | value='1113108.44' | fill=00000000 | rows=[46] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E47 | value='1113108.44' | fill=00000000 | rows=[46] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A48 | value='East Wind Footwear Company Limited- (India Branch) Unit-1' | fill=FFAAAAAA | rows=[47] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B48 | value='9773079.525' | fill=00000000 | rows=[47] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E48 | value='9773079.525' | fill=00000000 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A49 | value='India' | fill=FFAAAAAA | rows=[48] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B49 | value='9773079.525' | fill=00000000 | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E49 | value='9773079.525' | fill=00000000 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A50 | value='Die Cut' | fill=FFAAAAAA | rows=[49] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B50 | value='9773079.525' | fill=00000000 | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E50 | value='9773079.525' | fill=00000000 | rows=[49] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A51 | value='East Wind Footwear Company Limited- (India Branch) Unit-2' | fill=FFAAAAAA | rows=[50] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B51 | value='4551559.95' | fill=00000000 | rows=[50] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E51 | value='4551559.95' | fill=00000000 | rows=[50] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A52 | value='India' | fill=FFAAAAAA | rows=[51] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B52 | value='4551559.95' | fill=00000000 | rows=[51] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E52 | value='4551559.95' | fill=00000000 | rows=[51] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A53 | value='Covered Flat Sheet' | fill=FFAAAAAA | rows=[52] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B53 | value='4551559.95' | fill=00000000 | rows=[52] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E53 | value='4551559.95' | fill=00000000 | rows=[52] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A54 | value='Expo International' | fill=FFAAAAAA | rows=[53] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B54 | value='198720' | fill=00000000 | rows=[53] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E54 | value='198720' | fill=00000000 | rows=[53] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A55 | value='India' | fill=FFAAAAAA | rows=[54] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B55 | value='198720' | fill=00000000 | rows=[54] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E55 | value='198720' | fill=00000000 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A56 | value='Die Cut' | fill=FFAAAAAA | rows=[55] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B56 | value='198720' | fill=00000000 | rows=[55] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E56 | value='198720' | fill=00000000 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A57 | value='Fairway Enterprises Company Limited (India Branch) - Unit 1' | fill=FFAAAAAA | rows=[56] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B57 | value='12665512.13' | fill=00000000 | rows=[56] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E57 | value='12665512.13' | fill=00000000 | rows=[56] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A58 | value='India' | fill=FFAAAAAA | rows=[57] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B58 | value='12665512.13' | fill=00000000 | rows=[57] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E58 | value='12665512.13' | fill=00000000 | rows=[57] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A59 | value='Die Cut' | fill=FFAAAAAA | rows=[58] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B59 | value='12665512.13' | fill=00000000 | rows=[58] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E59 | value='12665512.13' | fill=00000000 | rows=[58] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A60 | value='Fairway Enterprises Company Limited (India Branch) - Unit 2' | fill=FFAAAAAA | rows=[59] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B60 | value='2554544.78' | fill=00000000 | rows=[59] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E60 | value='2554544.78' | fill=00000000 | rows=[59] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A61 | value='India' | fill=FFAAAAAA | rows=[60] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B61 | value='2554544.78' | fill=00000000 | rows=[60] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E61 | value='2554544.78' | fill=00000000 | rows=[60] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A62 | value='Die Cut' | fill=FFAAAAAA | rows=[61] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B62 | value='2554544.78' | fill=00000000 | rows=[61] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E62 | value='2554544.78' | fill=00000000 | rows=[61] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A63 | value='Farida Classic Shoes Private Limited' | fill=FFAAAAAA | rows=[62] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B63 | value='966401.37' | fill=00000000 | rows=[62] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E63 | value='966401.37' | fill=00000000 | rows=[62] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A64 | value='India' | fill=FFAAAAAA | rows=[63] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B64 | value='966401.37' | fill=00000000 | rows=[63] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E64 | value='966401.37' | fill=00000000 | rows=[63] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A65 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[64] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B65 | value='966401.37' | fill=00000000 | rows=[64] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E65 | value='966401.37' | fill=00000000 | rows=[64] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A66 | value='Farida Shoes Private Limited' | fill=FFAAAAAA | rows=[65] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B66 | value='982877.59' | fill=00000000 | rows=[65] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E66 | value='982877.59' | fill=00000000 | rows=[65] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A67 | value='India' | fill=FFAAAAAA | rows=[66] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B67 | value='982877.59' | fill=00000000 | rows=[66] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E67 | value='982877.59' | fill=00000000 | rows=[66] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A68 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[67] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B68 | value='982877.59' | fill=00000000 | rows=[67] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E68 | value='982877.59' | fill=00000000 | rows=[67] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A69 | value='Farida Shoes Private Limited Unit C' | fill=FFAAAAAA | rows=[68] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B69 | value='1042506.56' | fill=00000000 | rows=[68] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E69 | value='1042506.56' | fill=00000000 | rows=[68] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A70 | value='India' | fill=FFAAAAAA | rows=[69] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B70 | value='1042506.56' | fill=00000000 | rows=[69] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E70 | value='1042506.56' | fill=00000000 | rows=[69] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A71 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[70] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B71 | value='1042506.56' | fill=00000000 | rows=[70] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E71 | value='1042506.56' | fill=00000000 | rows=[70] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A72 | value='Florence Shoes Company Private Limited' | fill=FFAAAAAA | rows=[71] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B72 | value='275626.86' | fill=00000000 | rows=[71] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E72 | value='275626.86' | fill=00000000 | rows=[71] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A73 | value='India' | fill=FFAAAAAA | rows=[72] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B73 | value='275626.86' | fill=00000000 | rows=[72] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E73 | value='275626.86' | fill=00000000 | rows=[72] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A74 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[73] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B74 | value='275626.86' | fill=00000000 | rows=[73] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E74 | value='275626.86' | fill=00000000 | rows=[73] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A75 | value='Fuzail Shoes Private Limited' | fill=FFAAAAAA | rows=[74] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B75 | value='84699.06' | fill=00000000 | rows=[74] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E75 | value='84699.06' | fill=00000000 | rows=[74] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A76 | value='India' | fill=FFAAAAAA | rows=[75] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B76 | value='84699.06' | fill=00000000 | rows=[75] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E76 | value='84699.06' | fill=00000000 | rows=[75] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A77 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[76] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B77 | value='84699.06' | fill=00000000 | rows=[76] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E77 | value='84699.06' | fill=00000000 | rows=[76] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A78 | value='Gadsyll Shooes' | fill=FFAAAAAA | rows=[77] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B78 | value='14700' | fill=00000000 | rows=[77] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E78 | value='14700' | fill=00000000 | rows=[77] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A79 | value='India' | fill=FFAAAAAA | rows=[78] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B79 | value='14700' | fill=00000000 | rows=[78] | cols=[1] | col_header=False | row_header=False | metadata=False
