=== economy-table15.xlsx ===
Cell A1 | value='Number of tables on this sheet:' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell A11 | value='Turnover per head in the sports sector: sub-sector by region in 2005 and 2009 (£ thousands)' | fill=FF00B0F0 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B12 | value='East Midlands' | fill=9 | rows=[11] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='East of England' | fill=9 | rows=[11] | cols=[3, 4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='London' | fill=9 | rows=[11] | cols=[5, 6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='North East' | fill=9 | rows=[11] | cols=[7, 8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='North West' | fill=9 | rows=[11] | cols=[9, 10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='South East' | fill=9 | rows=[11] | cols=[11, 12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='South West' | fill=9 | rows=[11] | cols=[13, 14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='West Midlands' | fill=9 | rows=[11] | cols=[15, 16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='Yorkshire and The Humber' | fill=9 | rows=[11] | cols=[17, 18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='England' | fill=9 | rows=[11] | cols=[19, 20] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Sub-sector' | fill=FFFFFF00 | rows=[12] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B13 | value='2005' | fill=9 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='2009' | fill=9 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='2005' | fill=9 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='2009' | fill=9 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='2005' | fill=9 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='2009' | fill=9 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='2005' | fill=9 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='2009' | fill=9 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='2005' | fill=9 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='2009' | fill=9 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='2005' | fill=9 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='2009' | fill=9 | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='2005' | fill=9 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='2009' | fill=9 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='2005' | fill=9 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='2009' | fill=9 | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='2005' | fill=9 | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='2009' | fill=9 | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T13 | value='2005' | fill=9 | rows=[12] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U13 | value='2009' | fill=9 | rows=[12] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Sports Activities' | fill=9 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='46.4977730077811' | fill=9 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='43.9425220509838' | fill=9 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='31.4121198049687' | fill=9 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='36.6025532380197' | fill=9 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='77.9191799490431' | fill=9 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='91.8282331027142' | fill=9 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='35.687573964497' | fill=9 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='39.9700899393432' | fill=9 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='54.5590484903934' | fill=9 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='45.0457671495898' | fill=9 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='46.3471568025121' | fill=9 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='47.6965939729645' | fill=9 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='33.7429335024461' | fill=9 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='36.7199191919192' | fill=9 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='36.8975737788874' | fill=9 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='55.5583742645868' | fill=9 | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='31.2612217863148' | fill=9 | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='29.7563712882862' | fill=9 | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='46.6791067974579' | fill=9 | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U14 | value='48.4486224245818' | fill=9 | rows=[13] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Sports Manufacturing' | fill=9 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='110.238165680473' | fill=9 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='*' | fill=9 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='163.57018813314' | fill=9 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='*' | fill=9 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='88.4153846153846' | fill=9 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='*' | fill=9 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='79.6527777777778' | fill=9 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='*' | fill=9 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='79.598820058997' | fill=9 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='*' | fill=9 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='157.325814536341' | fill=9 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='*' | fill=9 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='62.9641255605381' | fill=9 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='*' | fill=9 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='57.3244552058111' | fill=9 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='*' | fill=9 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='80.1992110453649' | fill=9 | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='*' | fill=9 | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T15 | value='107.341908531223' | fill=9 | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U15 | value='*' | fill=9 | rows=[14] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Total' | fill=FF00B050 | rows=[16] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B17 | value='48.7290663352493' | fill=9 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='43.9425220509838' | fill=9 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='34.853917762786' | fill=9 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='36.6025532380197' | fill=9 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='77.9794692038057' | fill=9 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='91.8282331027142' | fill=9 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='36.303189420459' | fill=9 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='39.9700899393432' | fill=9 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='55.1653037174588' | fill=9 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='45.0457671495898' | fill=9 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='47.8382328181298' | fill=9 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='47.6965939729645' | fill=9 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='34.3215966610425' | fill=9 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='36.7199191919192' | fill=9 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='37.4237245852563' | fill=9 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='55.5583742645868' | fill=9 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='32.4935432601569' | fill=9 | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='29.7563712882862' | fill=9 | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T17 | value='47.8473391372097' | fill=9 | rows=[16] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U17 | value='48.4486224245818' | fill=9 | rows=[16] | cols=[20] | col_header=False | row_header=False | metadata=False

