=== economy-table98.xlsx ===
Cell A1 | value='Return to contents' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell AC3 | value='Fixed telephone services' | fill=00000000 | rows=[2] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD3 | value='Internet provision' | fill=00000000 | rows=[2] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE3 | value='TV and other digital subscriptions' | fill=00000000 | rows=[2] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF3 | value='Water services' | fill=00000000 | rows=[2] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG3 | value='Electricity and gas services' | fill=00000000 | rows=[2] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH3 | value='Real estate services' | fill=00000000 | rows=[2] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI3 | value='Renting services' | fill=00000000 | rows=[2] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ3 | value='Home and garden maintenance and repair' | fill=00000000 | rows=[2] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK3 | value='Removal and storage **' | fill=00000000 | rows=[2] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL3 | value='Current accounts, loans and bank services' | fill=00000000 | rows=[2] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM3 | value='Pension funds and investment services' | fill=00000000 | rows=[2] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN3 | value='Insurance services' | fill=00000000 | rows=[2] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO3 | value='Legal and accountancy services' | fill=00000000 | rows=[2] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP3 | value='Funeral services **' | fill=00000000 | rows=[2] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ3 | value='Vehicle rental **' | fill=00000000 | rows=[2] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR3 | value='Public transport and train' | fill=00000000 | rows=[2] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS3 | value='Airline' | fill=00000000 | rows=[2] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT3 | value='Vehicle maintenance and repair' | fill=00000000 | rows=[2] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU3 | value='Private medical and dental services' | fill=00000000 | rows=[2] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV3 | value='Prescription and non-prescription medicines' | fill=00000000 | rows=[2] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW3 | value='Adult care **' | fill=00000000 | rows=[2] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX3 | value='Education fees *' | fill=00000000 | rows=[2] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY3 | value='Childcare *' | fill=00000000 | rows=[2] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ3 | value='Veterinary' | fill=00000000 | rows=[2] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA3 | value='Personal care services' | fill=00000000 | rows=[2] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB3 | value='Hotels and holiday accommodation' | fill=00000000 | rows=[2] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC3 | value='Package holidays and tours' | fill=00000000 | rows=[2] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD3 | value='Restaurants, cafés and take-away' | fill=00000000 | rows=[2] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE3 | value='Sport, cultural and entertainment activities' | fill=00000000 | rows=[2] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF3 | value='Gambling and lottery services *' | fill=00000000 | rows=[2] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG3 | value='Pet breeder **' | fill=00000000 | rows=[2] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell C4 | value='A1' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='B1' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='C1' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='D1' | fill=00000000 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='E1' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='F1' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='G1' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='H1' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='I1' | fill=00000000 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='J1' | fill=00000000 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='K1' | fill=00000000 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='L1' | fill=00000000 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='M1' | fill=00000000 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='N1' | fill=00000000 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='O1' | fill=00000000 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='P1' | fill=00000000 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S4 | value='Q1' | fill=00000000 | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='R1' | fill=00000000 | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='S1' | fill=00000000 | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V4 | value='T1' | fill=00000000 | rows=[3] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W4 | value='U1' | fill=00000000 | rows=[3] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X4 | value='V1' | fill=00000000 | rows=[3] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y4 | value='W1' | fill=00000000 | rows=[3] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z4 | value='X1' | fill=00000000 | rows=[3] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA4 | value='Y1' | fill=00000000 | rows=[3] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB4 | value='Z1' | fill=00000000 | rows=[3] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC4 | value='A2' | fill=00000000 | rows=[3] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD4 | value='B2' | fill=00000000 | rows=[3] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE4 | value='C2' | fill=00000000 | rows=[3] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF4 | value='D2' | fill=00000000 | rows=[3] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG4 | value='E2' | fill=00000000 | rows=[3] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH4 | value='F2' | fill=00000000 | rows=[3] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI4 | value='G2' | fill=00000000 | rows=[3] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ4 | value='H2' | fill=00000000 | rows=[3] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK4 | value='I2' | fill=00000000 | rows=[3] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL4 | value='J2' | fill=00000000 | rows=[3] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM4 | value='K2' | fill=00000000 | rows=[3] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN4 | value='L2' | fill=00000000 | rows=[3] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO4 | value='M2' | fill=00000000 | rows=[3] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP4 | value='N2' | fill=00000000 | rows=[3] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ4 | value='O2' | fill=00000000 | rows=[3] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR4 | value='P2' | fill=00000000 | rows=[3] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS4 | value='Q2' | fill=00000000 | rows=[3] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT4 | value='R2' | fill=00000000 | rows=[3] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU4 | value='S2' | fill=00000000 | rows=[3] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV4 | value='T2' | fill=00000000 | rows=[3] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW4 | value='U2' | fill=00000000 | rows=[3] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX4 | value='V2' | fill=00000000 | rows=[3] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY4 | value='W2' | fill=00000000 | rows=[3] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ4 | value='X2' | fill=00000000 | rows=[3] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA4 | value='Y2' | fill=00000000 | rows=[3] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB4 | value='Z2' | fill=00000000 | rows=[3] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC4 | value='A3' | fill=00000000 | rows=[3] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD4 | value='B3' | fill=00000000 | rows=[3] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE4 | value='C3' | fill=00000000 | rows=[3] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF4 | value='D3' | fill=00000000 | rows=[3] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG4 | value='E3' | fill=00000000 | rows=[3] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Unweighted total' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='9388' | fill=FFFFFFFF | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='3698' | fill=FFFFFFFF | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='5690' | fill=FFFFFFFF | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='1889' | fill=FFFFFFFF | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='1563' | fill=FFFFFFFF | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='844' | fill=FFFFFFFF | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='2228' | fill=FFFFFFFF | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='655' | fill=FFFFFFFF | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='325' | fill=FFFFFFFF | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='522' | fill=FFFFFFFF | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='266' | fill=FFFFFFFF | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='204' | fill=FFFFFFFF | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='640' | fill=FFFFFFFF | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='252' | fill=FFFFFFFF | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='426' | fill=FFFFFFFF | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='821' | fill=FFFFFFFF | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='222' | fill=FFFFFFFF | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='83' | fill=FFFFFFFF | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='148' | fill=FFFFFFFF | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='224' | fill=FFFFFFFF | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='568' | fill=FFFFFFFF | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='590' | fill=FFFFFFFF | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X5 | value='181' | fill=FFFFFFFF | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y5 | value='51' | fill=FFFFFFFF | rows=[4] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z5 | value='183' | fill=FFFFFFFF | rows=[4] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA5 | value='201' | fill=FFFFFFFF | rows=[4] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB5 | value='415' | fill=FFFFFFFF | rows=[4] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC5 | value='275' | fill=FFFFFFFF | rows=[4] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD5 | value='1023' | fill=FFFFFFFF | rows=[4] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE5 | value='515' | fill=FFFFFFFF | rows=[4] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF5 | value='134' | fill=FFFFFFFF | rows=[4] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG5 | value='521' | fill=FFFFFFFF | rows=[4] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH5 | value='68' | fill=FFFFFFFF | rows=[4] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI5 | value='87' | fill=FFFFFFFF | rows=[4] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ5 | value='148' | fill=FFFFFFFF | rows=[4] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK5 | value='22' | fill=FFFFFFFF | rows=[4] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL5 | value='222' | fill=FFFFFFFF | rows=[4] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM5 | value='71' | fill=FFFFFFFF | rows=[4] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN5 | value='229' | fill=FFFFFFFF | rows=[4] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO5 | value='79' | fill=FFFFFFFF | rows=[4] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP5 | value='23' | fill=FFFFFFFF | rows=[4] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ5 | value='15' | fill=FFFFFFFF | rows=[4] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR5 | value='126' | fill=FFFFFFFF | rows=[4] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS5 | value='125' | fill=FFFFFFFF | rows=[4] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT5 | value='409' | fill=FFFFFFFF | rows=[4] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU5 | value='105' | fill=FFFFFFFF | rows=[4] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV5 | value='134' | fill=FFFFFFFF | rows=[4] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW5 | value='21' | fill=FFFFFFFF | rows=[4] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX5 | value='43' | fill=FFFFFFFF | rows=[4] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY5 | value='35' | fill=FFFFFFFF | rows=[4] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ5 | value='137' | fill=FFFFFFFF | rows=[4] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA5 | value='55' | fill=FFFFFFFF | rows=[4] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB5 | value='180' | fill=FFFFFFFF | rows=[4] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC5 | value='116' | fill=FFFFFFFF | rows=[4] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD5 | value='190' | fill=FFFFFFFF | rows=[4] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE5 | value='110' | fill=FFFFFFFF | rows=[4] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF5 | value='44' | fill=FFFFFFFF | rows=[4] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG5 | value='13' | fill=FFFFFFFF | rows=[4] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Weighted total' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B6 | value='27838' | fill=FFFFFFFF | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='13275' | fill=FFFFFFFF | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='14563' | fill=FFFFFFFF | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='9047' | fill=FFFFFFFF | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='3678' | fill=FFFFFFFF | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='2217' | fill=FFFFFFFF | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='5222' | fill=FFFFFFFF | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='1719' | fill=FFFFFFFF | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='932' | fill=FFFFFFFF | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='1089' | fill=FFFFFFFF | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='915' | fill=FFFFFFFF | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='515' | fill=FFFFFFFF | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='1835' | fill=FFFFFFFF | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='669' | fill=FFFFFFFF | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='2541' | fill=FFFFFFFF | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='3896' | fill=FFFFFFFF | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='515' | fill=FFFFFFFF | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='309' | fill=FFFFFFFF | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='1167' | fill=FFFFFFFF | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='413' | fill=FFFFFFFF | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V6 | value='1206' | fill=FFFFFFFF | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W6 | value='1504' | fill=FFFFFFFF | rows=[5] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X6 | value='555' | fill=FFFFFFFF | rows=[5] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y6 | value='83' | fill=FFFFFFFF | rows=[5] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z6 | value='428' | fill=FFFFFFFF | rows=[5] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA6 | value='659' | fill=FFFFFFFF | rows=[5] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB6 | value='1205' | fill=FFFFFFFF | rows=[5] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC6 | value='540' | fill=FFFFFFFF | rows=[5] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD6 | value='2357' | fill=FFFFFFFF | rows=[5] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE6 | value='1121' | fill=FFFFFFFF | rows=[5] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF6 | value='339' | fill=FFFFFFFF | rows=[5] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG6 | value='1380' | fill=FFFFFFFF | rows=[5] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH6 | value='175' | fill=FFFFFFFF | rows=[5] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI6 | value='403' | fill=FFFFFFFF | rows=[5] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ6 | value='295' | fill=FFFFFFFF | rows=[5] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK6 | value='60' | fill=FFFFFFFF | rows=[5] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL6 | value='463' | fill=FFFFFFFF | rows=[5] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM6 | value='198' | fill=FFFFFFFF | rows=[5] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN6 | value='428' | fill=FFFFFFFF | rows=[5] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO6 | value='164' | fill=FFFFFFFF | rows=[5] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP6 | value='29' | fill=FFFFFFFF | rows=[5] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ6 | value='26' | fill=FFFFFFFF | rows=[5] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR6 | value='622' | fill=FFFFFFFF | rows=[5] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS6 | value='268' | fill=FFFFFFFF | rows=[5] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT6 | value='1048' | fill=FFFFFFFF | rows=[5] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU6 | value='217' | fill=FFFFFFFF | rows=[5] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV6 | value='430' | fill=FFFFFFFF | rows=[5] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW6 | value='59' | fill=FFFFFFFF | rows=[5] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX6 | value='105' | fill=FFFFFFFF | rows=[5] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY6 | value='134' | fill=FFFFFFFF | rows=[5] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ6 | value='450' | fill=FFFFFFFF | rows=[5] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA6 | value='189' | fill=FFFFFFFF | rows=[5] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB6 | value='367' | fill=FFFFFFFF | rows=[5] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC6 | value='279' | fill=FFFFFFFF | rows=[5] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD6 | value='837' | fill=FFFFFFFF | rows=[5] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE6 | value='226' | fill=FFFFFFFF | rows=[5] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF6 | value='126' | fill=FFFFFFFF | rows=[5] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG6 | value='25' | fill=FFFFFFFF | rows=[5] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Online, from the provider's/retailer's/operator's website' | fill=FFFFFFFF | rows=[6, 7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='0.36' | fill=FFFFFFFF | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
