=== economy-table83.xlsx ===
Cell A1 | value='DATE' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell G3 | value='8904.81' | fill=4 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='ü' | fill=4 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B4 | value='GAS CHARGES' | fill=4 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='CHECKCARD 1129 SUNOCO 0980600100 MARLBOROUGH MA 24231686335889335978010 CKCD 5541 4135751004821839' | fill=4 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='145' | fill=4 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G4 | value='8759.81' | fill=4 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='ü' | fill=4 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B5 | value='GAS CHARGES' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='CHECKCARD 1129 EXXONMOBIL 97540942 WEST BARNSTABMA 24164056335378012199196 CKCD 5542 4135751004821839' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='65.13' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G5 | value='8694.68' | fill=4 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='ü' | fill=4 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B6 | value='GAS CHARGES' | fill=4 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='CHECKCARD 1130 BP#6459705ASA PETROLEUM LINDEN NJ 24122546335740335260438 CKCD 5542 4135751004821839' | fill=4 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='25' | fill=4 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G6 | value='8669.68' | fill=4 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='ü' | fill=4 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B7 | value='PAYROLL' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='Check 1013' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='1200' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='Check 1013' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G7 | value='7469.68' | fill=4 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='ü' | fill=4 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B8 | value='BANK FEES' | fill=4 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='CHECK ORDER00035 DES:FEE ID:06Q24541 INDN:OKAMI LOGISTICS LLC CO ID:0000000035 PPD PMT INFO: PRODUCT(S): 66.35 S&H: 0.00 NJ TAX: 4.65' | fill=4 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='71' | fill=4 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G8 | value='7398.68' | fill=4 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='ü' | fill=4 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B9 | value='BANK FEES' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='Wire Transfer Fee' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='15' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G9 | value='7383.68' | fill=4 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='ü' | fill=4 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A10 | value='2016-12-02 00:00:00' | fill=4 | rows=[9, 10, 11, 12, 13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='DEPOSITS' | fill=4 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='WIRE TYPE:BOOK IN DATE:161202 TIME:1423 ET TRN:2016120200327936 SNDR REF:16C2D0133NRC1T77 ORIG:METROPOLITAN WAREHOUSE & ID:381032737785' | fill=4 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='0' | fill=4 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F10 | value='1340' | fill=4 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='8723.68' | fill=4 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='ü' | fill=4 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B11 | value='GAS CHARGES' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='CHECKCARD 1130 SUNOCO 0980600100 MARLBOROUGH MA 24231686336889336264419 CKCD 5542 4135751004561526' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='70.02' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G11 | value='8653.66' | fill=4 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='ü' | fill=4 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B12 | value='GAS CHARGES' | fill=4 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='CHECKCARD 1130 SUNOCO 0980600100 MARLBOROUGH MA 24231686336889336264427 CKCD 5541 4135751004561526' | fill=4 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='70.13' | fill=4 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G12 | value='8583.53' | fill=4 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='ü' | fill=4 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B13 | value='TRUCK EXPENSES' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='CHECKCARD 1201 NEW JERSEY E-ZPASS NEWARK NJ 24610436336004088020719 CKCD 4784 4135751004561526' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='150' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G13 | value='8433.53' | fill=4 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='ü' | fill=4 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B14 | value='OFFICE EXPENSES' | fill=4 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='BKOFAMERICA ATM 12/02 #000001231 WITHDRWL MARLBOROUGH - PO MARLBOROUGH MA CKCD 4135751004561526' | fill=4 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='200' | fill=4 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G14 | value='8233.53' | fill=4 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='ü' | fill=4 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A15 | value='2016-12-05 00:00:00' | fill=00000000 | rows=[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='DEPOSITS' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='Counter Credit' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='0' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F15 | value='3000' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='11233.53' | fill=4 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='ü' | fill=4 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B16 | value='GAS CHARGES' | fill=4 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='CHECKCARD 1201 SUNOCO 0980600100 MARLBOROUGH MA 24231686337889337745076 CKCD 5542 4135751004561526' | fill=4 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='36.81' | fill=4 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G16 | value='11196.72' | fill=4 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='ü' | fill=4 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B17 | value='GAS CHARGES' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='CHECKCARD 1201 SUNOCO 0980600100 MARLBOROUGH MA 24231686337889337745084 CKCD 5541 4135751004561526' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='120.34' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G17 | value='11076.38' | fill=4 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='ü' | fill=4 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B18 | value='GAS CHARGES' | fill=4 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='CHECKCARD 1202 BP#6459705ASA PETROLEUM LINDEN NJ 24122546337740337310197 CKCD 5542 4135751004821839' | fill=4 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='51.12' | fill=4 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G18 | value='11025.26' | fill=4 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='ü' | fill=4 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B19 | value='GAS CHARGES' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='CHECKCARD 1202 SUNOCO 0980600100 MARLBOROUGH MA 24231686338889338246545 CKCD 5541 4135751004561526' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='90.63' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G19 | value='10934.63' | fill=4 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='ü' | fill=4 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B20 | value='GAS CHARGES' | fill=4 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='CHECKCARD 1202 EXXONMOBIL 48142731 WESTBOROUGH MA 24164056338378008734342 CKCD 5542 4135751004561526' | fill=4 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='44.87' | fill=4 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G20 | value='10889.76' | fill=4 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='ü' | fill=4 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B21 | value='TRAVEL EXPENSES' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='CHECKCARD 1203 DAYS INN SHREWBURY SHREWSBURY MA 24071056339987186115651 CKCD 3510 4135751004561526' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='268.04' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G21 | value='10621.72' | fill=4 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='ü' | fill=4 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B22 | value='GAS CHARGES' | fill=4 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='CHECKCARD 1203 EXXONMOBIL 97456628 WESTBOROUGH MA 24164056339837010370949 CKCD 5541 4135751004561526' | fill=4 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='40' | fill=4 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G22 | value='10581.72' | fill=4 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='ü' | fill=4 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B23 | value='TRUCK EXPENSES' | fill=00000000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='AUTOZONE 1677 12/03 #000732128 PURCHASE AUTOZONE 1677 56 EDISON NJ CKCD 5533 4135751004821839' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='75.93' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G23 | value='10505.79' | fill=4 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='ü' | fill=4 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B24 | value='OFFICE EXPENSES' | fill=4 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='Online Banking transfer to CHK 4720 Confirmation# 3392315902' | fill=4 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='300' | fill=4 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G24 | value='10205.79' | fill=4 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='ü' | fill=4 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B25 | value='GAS CHARGES' | fill=00000000 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='WAWA 8323 12/05 #000673104 PURCHASE WAWA 8323 AVENEL NJ CKCD 5542 4135751004821839' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='43.17' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G25 | value='10162.62' | fill=4 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='ü' | fill=4 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B26 | value='TRUCK EXPENSES' | fill=4 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='AUTOZONE 4794 12/05 #000637917 PURCHASE AUTOZONE 4794 59 ELIZABETH NJ CKCD 5533 4135751004821839' | fill=4 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='18.63' | fill=4 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G26 | value='10143.99' | fill=4 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='ü' | fill=4 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B27 | value='PAYROLL' | fill=FFFFC000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='Check 1008' | fill=FFFFC000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='600' | fill=FFFFC000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='Check 1008' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G27 | value='9543.99' | fill=4 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='ü' | fill=4 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B28 | value='PAYROLL' | fill=FFFFC000 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='Check 1009' | fill=FFFFC000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='675' | fill=FFFFC000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='Check 1009' | fill=4 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G28 | value='8868.99' | fill=4 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='ü' | fill=4 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B29 | value='PAYROLL' | fill=FFFFC000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='Check 1010' | fill=FFFFC000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='600' | fill=FFFFC000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='Check 1010' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G29 | value='8268.99' | fill=4 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='ü' | fill=4 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B30 | value='PAYROLL' | fill=FFFFC000 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='Check 1011' | fill=FFFFC000 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='350' | fill=FFFFC000 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='Check 1011' | fill=4 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G30 | value='7918.99' | fill=4 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='ü' | fill=4 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B31 | value='PAYROLL' | fill=FFFFC000 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='Check 1014' | fill=FFFFC000 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='550' | fill=FFFFC000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='Check 1014' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G31 | value='7368.99' | fill=4 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='ü' | fill=4 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B32 | value='PAYROLL' | fill=FFFFC000 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='Check 1015' | fill=FFFFC000 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='520' | fill=FFFFC000 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='Check 1015' | fill=4 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G32 | value='6848.99' | fill=4 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='ü' | fill=4 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B33 | value='PAYROLL' | fill=FFFFC000 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='Check 1016' | fill=FFFFC000 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='1191' | fill=FFFFC000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='Check 1016' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G33 | value='5657.99' | fill=4 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='ü' | fill=4 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B34 | value='BANK FEES' | fill=4 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='Wire Transfer Fee' | fill=4 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='15' | fill=4 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G34 | value='5642.99' | fill=4 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='ü' | fill=4 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A35 | value='2016-12-06 00:00:00' | fill=00000000 | rows=[34, 35, 36, 37, 38, 39, 40] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B35 | value='DEPOSITS' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='BKOFAMERICA ATM 12/06 #000001616 DEPOSIT LATIN AMERICAN B ELIZABETH NJ CKCD 4135751004821839' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='0' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F35 | value='600' | fill=00000000 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='6242.99' | fill=4 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='ü' | fill=4 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B36 | value='GAS CHARGES' | fill=4 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='CHECKCARD 1204 EXXONMOBIL 99163701 ELIZABETH NJ 24164056340837014785701 CKCD 5541 4135751004821839' | fill=4 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='53.45' | fill=4 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G36 | value='6189.54' | fill=4 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H36 | value='ü' | fill=4 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B37 | value='GAS CHARGES' | fill=00000000 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='CHECKCARD 1205 BP#2089936COSTA & JOAO CARTERET NJ 24122546340740340060487 CKCD 5541 4135751004561526' | fill=00000000 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='44' | fill=00000000 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G37 | value='6145.54' | fill=4 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='ü' | fill=4 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B38 | value='GAS CHARGES' | fill=4 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='CHECKCARD 1205 SPEEDWAY 03444 PERTH AMBOY NJ 24224436341102011889118 CKCD 5542 4256470000170017' | fill=4 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='10' | fill=4 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G38 | value='6135.54' | fill=4 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H38 | value='ü' | fill=4 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B39 | value='OFFICE EXPENSES' | fill=00000000 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='CHECKCARD 1205 NJMVC RAHWAY RAHWAY NJ 24755426341123418605210 CKCD 9399 4256470000170017' | fill=00000000 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='5036.5' | fill=00000000 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G39 | value='1099.04' | fill=4 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='ü' | fill=4 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B40 | value='TRAVEL EXPENSES' | fill=4 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='CHECKCARD 1206 HOTELS.COM HOTELS.COM WA 24692166341000220195838 CKCD 4722 4135751004821839' | fill=4 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='72.71' | fill=4 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G40 | value='1026.33' | fill=4 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='ü' | fill=4 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B41 | value='OFFICE EXPENSES' | fill=00000000 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='CHECKCARD 1205 WAL-MART #3469 LINDEN NJ 24226386341400008482599 CKCD 5310 4256470000170017' | fill=00000000 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='92.62' | fill=00000000 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G41 | value='933.71' | fill=4 | rows=[40] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H41 | value='ü' | fill=4 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A42 | value='2016-12-07 00:00:00' | fill=4 | rows=[41, 42, 43, 44] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B42 | value='DEPOSITS' | fill=4 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
