=== environment-table25.xlsx ===
Cell A1 | value='Table 9 Scientific procedures (toxicology) by species of animal and toxicological purpose, page 1 of 4' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell K9 | value='32063' | fill=47 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='3475' | fill=47 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='99988' | fill=47 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='7925' | fill=47 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='1390' | fill=47 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='0' | fill=47 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='980' | fill=47 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='4210' | fill=47 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='1639' | fill=47 | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='167616' | fill=47 | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Rat' | fill=00000000 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='842' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='12447' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='12433' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='-' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='3412' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='397' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='-' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='-' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='Rat' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='64722' | fill=00000000 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='117' | fill=00000000 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='757' | fill=00000000 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='10854' | fill=00000000 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='453' | fill=00000000 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='-' | fill=00000000 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='424' | fill=00000000 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='3288' | fill=00000000 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='2051' | fill=00000000 | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='112197' | fill=00000000 | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Guinea pig' | fill=47 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='-' | fill=47 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='-' | fill=47 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='0' | fill=47 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='-' | fill=47 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='-' | fill=47 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='-' | fill=47 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0' | fill=47 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='-' | fill=47 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='Guinea pig' | fill=47 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='1146' | fill=47 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='31' | fill=47 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='5407' | fill=47 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='20' | fill=47 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='39' | fill=47 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='-' | fill=47 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='299' | fill=47 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='14' | fill=47 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='-' | fill=47 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='6956' | fill=47 | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Hamster' | fill=00000000 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='-' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='-' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='80' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='0' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='-' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='-' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='-' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='0' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='Hamster' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='390' | fill=00000000 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='118' | fill=00000000 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='-' | fill=00000000 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='93' | fill=00000000 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='-' | fill=00000000 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='-' | fill=00000000 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='-' | fill=00000000 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='-' | fill=00000000 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='-' | fill=00000000 | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='681' | fill=00000000 | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A13 | value='Gerbil' | fill=47 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='0' | fill=47 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='-' | fill=47 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='-' | fill=47 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='-' | fill=47 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='0' | fill=47 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='-' | fill=47 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='-' | fill=47 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='-' | fill=47 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='Gerbil' | fill=47 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='-' | fill=47 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='-' | fill=47 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='-' | fill=47 | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='-' | fill=47 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='-' | fill=47 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='-' | fill=47 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='-' | fill=47 | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='-' | fill=47 | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='-' | fill=47 | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Other rodent' | fill=00000000 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='0' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='48' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='-' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='-' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='-' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='0' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='-' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='-' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='Other rodent' | fill=00000000 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='-' | fill=00000000 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='-' | fill=00000000 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='-' | fill=00000000 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='-' | fill=00000000 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='-' | fill=00000000 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='-' | fill=00000000 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='-' | fill=00000000 | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='-' | fill=00000000 | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='182' | fill=00000000 | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='230' | fill=00000000 | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Rabbit' | fill=47 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='0' | fill=47 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='1008' | fill=47 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='646' | fill=47 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='-' | fill=47 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='104' | fill=47 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='-' | fill=47 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='0' | fill=47 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='-' | fill=47 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='Rabbit' | fill=47 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='4640' | fill=47 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='9' | fill=47 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='3075' | fill=47 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='121' | fill=47 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='-' | fill=47 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='-' | fill=47 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='419' | fill=47 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='185' | fill=47 | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='10' | fill=47 | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T15 | value='10217' | fill=47 | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Cat' | fill=00000000 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='0' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='-' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='-' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='-' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='-' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='-' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='-' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='0' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='Cat' | fill=00000000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='17' | fill=00000000 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='-' | fill=00000000 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='-' | fill=00000000 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='-' | fill=00000000 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='-' | fill=00000000 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='-' | fill=00000000 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='-' | fill=00000000 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='-' | fill=00000000 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='0' | fill=00000000 | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='17' | fill=00000000 | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Dog' | fill=47 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell J17 | value='Dog' | fill=47 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Beagle' | fill=00000000 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='0' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='65' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='-' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='-' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='8' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='64' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='-' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='-' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='Beagle' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='2434' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='-' | fill=00000000 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='-' | fill=00000000 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='889' | fill=00000000 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='-' | fill=00000000 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='-' | fill=00000000 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='1' | fill=00000000 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='165' | fill=00000000 | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='15' | fill=00000000 | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T18 | value='3641' | fill=00000000 | rows=[17] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Greyhound' | fill=47 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='0' | fill=47 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='-' | fill=47 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='-' | fill=47 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='-' | fill=47 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='-' | fill=47 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='-' | fill=47 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='-' | fill=47 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='-' | fill=47 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='Greyhound' | fill=47 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='-' | fill=47 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='0' | fill=47 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='-' | fill=47 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='-' | fill=47 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='-' | fill=47 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='-' | fill=47 | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='-' | fill=47 | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='-' | fill=47 | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='-' | fill=47 | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T19 | value='0' | fill=47 | rows=[18] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Other including cross-bred dogs' | fill=00000000 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='0' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='-' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='-' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='-' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='-' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='-' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='-' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='-' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='Other including cross-bred dogs' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='-' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='-' | fill=00000000 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='0' | fill=00000000 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='-' | fill=00000000 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='-' | fill=00000000 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='-' | fill=00000000 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='-' | fill=00000000 | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='-' | fill=00000000 | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='-' | fill=00000000 | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T20 | value='0' | fill=00000000 | rows=[19] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Ferret' | fill=47 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='0' | fill=47 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='-' | fill=47 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='-' | fill=47 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='-' | fill=47 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='-' | fill=47 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='-' | fill=47 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='-' | fill=47 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='-' | fill=47 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
