=== economy-table27.xlsx ===
Cell B1 | value='Quarterly National Accounts (for 'Developer API')' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell H27 | value='56255.2' | fill=00000000 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='56909.3' | fill=00000000 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B28 | value='·  ·  ·  Exports of goods, Total economy' | fill=FFE2F2FB | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E28 | value='40725.3' | fill=00000000 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='40418.2' | fill=00000000 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='40194.3' | fill=00000000 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='39682.6' | fill=00000000 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B29 | value='·  ·  ·  Exports of services, Total economy' | fill=FFE2F2FB | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E29 | value='16475.5' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='16467.2' | fill=00000000 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='16716.7' | fill=00000000 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='16648.9' | fill=00000000 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B30 | value='·  ·  Imports of goods and services, Total economy' | fill=FFE2F2FB | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E30 | value='52269.6' | fill=00000000 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='50748.5' | fill=00000000 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='50726.6' | fill=00000000 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='50490.2' | fill=00000000 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='51326.5' | fill=00000000 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B31 | value='·  ·  ·  Imports of goods, Total economy' | fill=FFE2F2FB | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E31 | value='36281.5' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='34742.6' | fill=00000000 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='34709.7' | fill=00000000 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='34500.1' | fill=00000000 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B32 | value='·  ·  ·  Imports of services, Total economy' | fill=FFE2F2FB | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='2015, Millions, Euro' | fill=FFE2F2FB | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E32 | value='16184.1' | fill=00000000 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='16261.5' | fill=00000000 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='16242' | fill=00000000 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='16219.2' | fill=00000000 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Adjustment: Calendar and seasonally adjusted' | fill=00000000 | rows=[32] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Unit of measure: National currency' | fill=00000000 | rows=[33] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Price base: Chain linked volume (rebased)' | fill=00000000 | rows=[34] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B36 | value='Transformation: Annual levels' | fill=00000000 | rows=[35] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B37 | value='Gross domestic product, Total economy' | fill=FFE2F2FB | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='2020, Millions, Euro' | fill=FFE2F2FB | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E37 | value='414986.3' | fill=00000000 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F37 | value='412771.2' | fill=00000000 | rows=[36] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G37 | value='413643.1' | fill=00000000 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='413476.1' | fill=00000000 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I37 | value='414566.4' | fill=00000000 | rows=[36] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B38 | value='·  Final consumption expenditure, Total economy' | fill=FFE2F2FB | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B39 | value='·  ·  Final consumption expenditure, Households and non-profit institutions serving households (NPISH)' | fill=FFE2F2FB | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='2020, Millions, Euro' | fill=FFE2F2FB | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E39 | value='207110.5' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='206693.5' | fill=00000000 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G39 | value='207371.9' | fill=00000000 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='206097.8' | fill=00000000 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I39 | value='207066.4' | fill=00000000 | rows=[38] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B40 | value='·  ·  Final consumption expenditure, General government' | fill=FFE2F2FB | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='2020, Millions, Euro' | fill=FFE2F2FB | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E40 | value='88670.7' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F40 | value='87235.4' | fill=00000000 | rows=[39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G40 | value='88151.3' | fill=00000000 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='87965.6' | fill=00000000 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='88367.7' | fill=00000000 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B41 | value='·  Gross capital formation' | fill=FFE2F2FB | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B42 | value='·  ·  Gross fixed capital formation, Total economy' | fill=FFE2F2FB | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C42 | value='2020, Millions, Euro' | fill=FFE2F2FB | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E42 | value='97723.2' | fill=00000000 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F42 | value='97891.7' | fill=00000000 | rows=[41] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G42 | value='96051.7' | fill=00000000 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H42 | value='95426.5' | fill=00000000 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I42 | value='95095.5' | fill=00000000 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B43 | value='·  External balance of goods and services' | fill=FFE2F2FB | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B44 | value='·  ·  Exports of goods and services, Total economy' | fill=FFE2F2FB | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C44 | value='2020, Millions, Euro' | fill=FFE2F2FB | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E44 | value='232208.3' | fill=00000000 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F44 | value='230925.2' | fill=00000000 | rows=[43] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G44 | value='231129.9' | fill=00000000 | rows=[43] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H44 | value='228800.6' | fill=00000000 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I44 | value='231460.8' | fill=00000000 | rows=[43] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B45 | value='·  ·  Imports of goods and services, Total economy' | fill=FFE2F2FB | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C45 | value='2020, Millions, Euro' | fill=FFE2F2FB | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E45 | value='212534.5' | fill=00000000 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F45 | value='206349.5' | fill=00000000 | rows=[44] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G45 | value='206260.4' | fill=00000000 | rows=[44] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='205299' | fill=00000000 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I45 | value='208699.8' | fill=00000000 | rows=[44] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B46 | value='Adjustment: Calendar and seasonally adjusted' | fill=00000000 | rows=[45] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B47 | value='Unit of measure: National currency' | fill=00000000 | rows=[46] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B48 | value='Price base: Current prices' | fill=00000000 | rows=[47] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B49 | value='Transformation: Annual levels' | fill=00000000 | rows=[48] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B50 | value='Gross domestic product, Total economy' | fill=FFE2F2FB | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C50 | value='Millions, Euro' | fill=FFE2F2FB | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E50 | value='474321.5' | fill=00000000 | rows=[49] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F50 | value='474567.7' | fill=00000000 | rows=[49] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G50 | value='477103.1' | fill=00000000 | rows=[49] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H50 | value='480737.2' | fill=00000000 | rows=[49] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I50 | value='485903.5' | fill=00000000 | rows=[49] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B51 | value='·  Final consumption expenditure, Total economy' | fill=FFE2F2FB | rows=[50] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B52 | value='·  ·  Final consumption expenditure, Households and non-profit institutions serving households (NPISH)' | fill=FFE2F2FB | rows=[51] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C52 | value='Millions, Euro' | fill=FFE2F2FB | rows=[51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E52 | value='247520.1' | fill=00000000 | rows=[51] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F52 | value='249930.9' | fill=00000000 | rows=[51] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G52 | value='251512.2' | fill=00000000 | rows=[51] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H52 | value='252461.4' | fill=00000000 | rows=[51] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I52 | value='255058.9' | fill=00000000 | rows=[51] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B53 | value='·  ·  Final consumption expenditure, General government' | fill=FFE2F2FB | rows=[52] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C53 | value='Millions, Euro' | fill=FFE2F2FB | rows=[52] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E53 | value='99211.9' | fill=00000000 | rows=[52] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F53 | value='99670.9' | fill=00000000 | rows=[52] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G53 | value='101911.2' | fill=00000000 | rows=[52] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H53 | value='102907.1' | fill=00000000 | rows=[52] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I53 | value='104249.6' | fill=00000000 | rows=[52] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B54 | value='·  Gross capital formation' | fill=FFE2F2FB | rows=[53] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B55 | value='·  ·  Gross fixed capital formation, Total economy' | fill=FFE2F2FB | rows=[54] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C55 | value='Millions, Euro' | fill=FFE2F2FB | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E55 | value='117016.2' | fill=00000000 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F55 | value='117980.6' | fill=00000000 | rows=[54] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G55 | value='116949.8' | fill=00000000 | rows=[54] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H55 | value='116520' | fill=00000000 | rows=[54] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I55 | value='116107.1' | fill=00000000 | rows=[54] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B56 | value='·  External balance of goods and services' | fill=FFE2F2FB | rows=[55] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B57 | value='·  ·  Exports of goods and services, Total economy' | fill=FFE2F2FB | rows=[56] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C57 | value='Millions, Euro' | fill=FFE2F2FB | rows=[56] | cols=[2] | col_header=False | row_header=False | metadata=False
