=== economy-table29.xlsx ===
Cell B1 | value='Fossil Fuel Support - China' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell I12 | value='..' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='..' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='..' | fill=00000000 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='..' | fill=00000000 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='..' | fill=00000000 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='..' | fill=00000000 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='..' | fill=00000000 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='..' | fill=00000000 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='..' | fill=00000000 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='..' | fill=00000000 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='..' | fill=00000000 | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='..' | fill=00000000 | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='..' | fill=00000000 | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B13 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='·  Liquefied Petroleum Gases' | fill=FFE2F2FB | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='Total economy' | fill=FFE2F2FB | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B14 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='·  Liquefied Petroleum Gases' | fill=FFE2F2FB | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='·  General government' | fill=FFE2F2FB | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B15 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='·  Liquefied Petroleum Gases' | fill=FFE2F2FB | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H15 | value='..' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='..' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='..' | fill=00000000 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='..' | fill=00000000 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='..' | fill=00000000 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='..' | fill=00000000 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='..' | fill=00000000 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='..' | fill=00000000 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='..' | fill=00000000 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='..' | fill=00000000 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='..' | fill=00000000 | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='..' | fill=00000000 | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T15 | value='..' | fill=00000000 | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U15 | value='..' | fill=00000000 | rows=[14] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B16 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='·  Motor gasoline excl. biofuels' | fill=FFE2F2FB | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='Total economy' | fill=FFE2F2FB | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B17 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='·  Motor gasoline excl. biofuels' | fill=FFE2F2FB | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='·  General government' | fill=FFE2F2FB | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B18 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='·  Motor gasoline excl. biofuels' | fill=FFE2F2FB | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H18 | value='..' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='..' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='..' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='..' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='..' | fill=00000000 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='..' | fill=00000000 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='..' | fill=00000000 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='..' | fill=00000000 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='..' | fill=00000000 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='..' | fill=00000000 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='..' | fill=00000000 | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='..' | fill=00000000 | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T18 | value='..' | fill=00000000 | rows=[17] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U18 | value='..' | fill=00000000 | rows=[17] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B19 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='Total economy' | fill=FFE2F2FB | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B20 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='·  General government' | fill=FFE2F2FB | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B21 | value='2008 Operating Subsidies to Sinopec and PetroChina' | fill=FFE2F2FB | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H21 | value='..' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='..' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='..' | fill=00000000 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='..' | fill=00000000 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='..' | fill=00000000 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='..' | fill=00000000 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='..' | fill=00000000 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='..' | fill=00000000 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='..' | fill=00000000 | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='..' | fill=00000000 | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='..' | fill=00000000 | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S21 | value='..' | fill=00000000 | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T21 | value='..' | fill=00000000 | rows=[20] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U21 | value='..' | fill=00000000 | rows=[20] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B22 | value='VAT Refund Relating to Change from Business Tax to VAT to PetroChina' | fill=FFE2F2FB | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='Total' | fill=FFE2F2FB | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B23 | value='VAT Refund Relating to Change from Business Tax to VAT to PetroChina' | fill=FFE2F2FB | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B24 | value='VAT Refund Relating to Change from Business Tax to VAT to PetroChina' | fill=FFE2F2FB | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='Natural Gas' | fill=FFE2F2FB | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='Total economy' | fill=FFE2F2FB | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B25 | value='VAT Refund Relating to Change from Business Tax to VAT to PetroChina' | fill=FFE2F2FB | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='Natural Gas' | fill=FFE2F2FB | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='·  General government' | fill=FFE2F2FB | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B26 | value='VAT Refund Relating to Change from Business Tax to VAT to PetroChina' | fill=FFE2F2FB | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='Natural Gas' | fill=FFE2F2FB | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H26 | value='..' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='..' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='..' | fill=00000000 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='..' | fill=00000000 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='..' | fill=00000000 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='..' | fill=00000000 | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='3215000000' | fill=00000000 | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='3059000000' | fill=00000000 | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='2528000000' | fill=00000000 | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='2093000000' | fill=00000000 | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R26 | value='1976000000' | fill=00000000 | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='153000000' | fill=00000000 | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T26 | value='106000000' | fill=00000000 | rows=[25] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U26 | value='206000000' | fill=00000000 | rows=[25] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B27 | value='VAT Rebate on Imported LNG 2005-10' | fill=FFE2F2FB | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='Total' | fill=FFE2F2FB | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B28 | value='VAT Rebate on Imported LNG 2005-10' | fill=FFE2F2FB | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B29 | value='VAT Rebate on Imported LNG 2005-10' | fill=FFE2F2FB | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='Natural Gas' | fill=FFE2F2FB | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='Total economy' | fill=FFE2F2FB | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B30 | value='VAT Rebate on Imported LNG 2005-10' | fill=FFE2F2FB | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='Natural Gas' | fill=FFE2F2FB | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='·  General government' | fill=FFE2F2FB | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B31 | value='VAT Rebate on Imported LNG 2005-10' | fill=FFE2F2FB | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='Natural Gas' | fill=FFE2F2FB | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H31 | value='2659286464' | fill=00000000 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='..' | fill=00000000 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='..' | fill=00000000 | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K31 | value='..' | fill=00000000 | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L31 | value='..' | fill=00000000 | rows=[30] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M31 | value='..' | fill=00000000 | rows=[30] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N31 | value='..' | fill=00000000 | rows=[30] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O31 | value='..' | fill=00000000 | rows=[30] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P31 | value='..' | fill=00000000 | rows=[30] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q31 | value='..' | fill=00000000 | rows=[30] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R31 | value='..' | fill=00000000 | rows=[30] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S31 | value='..' | fill=00000000 | rows=[30] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T31 | value='..' | fill=00000000 | rows=[30] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U31 | value='..' | fill=00000000 | rows=[30] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Excise Tax Suspension for Domestic Aviation Fuel' | fill=FFE2F2FB | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='Total' | fill=FFE2F2FB | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Excise Tax Suspension for Domestic Aviation Fuel' | fill=FFE2F2FB | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Excise Tax Suspension for Domestic Aviation Fuel' | fill=FFE2F2FB | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='Petroleum' | fill=FFE2F2FB | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Excise Tax Suspension for Domestic Aviation Fuel' | fill=FFE2F2FB | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='·  Kerosene type jet fuel excl. biofuels' | fill=FFE2F2FB | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='Total economy' | fill=FFE2F2FB | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
