=== education-table01.xlsx ===
Cell A1 | value='<return>' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell P2 | value='EL3' | fill=00000000 | rows=[1] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q2 | value='L1' | fill=00000000 | rows=[1] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R2 | value='L2 and above' | fill=00000000 | rows=[1] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A3 | value='00AAFA' | fill=FFFFC000 | rows=[2] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B3 | value='Aldersgate' | fill=FFFFC000 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='955.18' | fill=FF0070C0 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='32.07' | fill=43 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='15.22' | fill=43 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='58.19' | fill=43 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='237' | fill=43 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='612.71' | fill=43 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='27.51' | fill=45 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='12.56' | fill=45 | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='52' | fill=45 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='222.58' | fill=45 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='593.15' | fill=45 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='37.29' | fill=42 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='18.42' | fill=42 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='64.65' | fill=42 | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='251.6' | fill=42 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='631.43' | fill=42 | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A4 | value='00AAFQ' | fill=FFFFC000 | rows=[3] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Cripplegate' | fill=FFFFC000 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='1709.52' | fill=FF0070C0 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='57.39' | fill=43 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='27.23' | fill=43 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='104.14' | fill=43 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='424.17' | fill=43 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='1096.58' | fill=43 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='49.23' | fill=45 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='22.49' | fill=45 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='93.07' | fill=45 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='398.36' | fill=45 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='1061.58' | fill=45 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N4 | value='66.74' | fill=42 | rows=[3] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O4 | value='32.96' | fill=42 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P4 | value='115.71' | fill=42 | rows=[3] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='450.29' | fill=42 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R4 | value='1130.09' | fill=42 | rows=[3] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A5 | value='00AAFT' | fill=FFFFC000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Farringdon Without' | fill=FFFFC000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='5695.66' | fill=FF0070C0 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='191.21' | fill=43 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='90.73' | fill=43 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='346.98' | fill=43 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='1413.22' | fill=43 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='3653.52' | fill=43 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='164.01' | fill=45 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='74.92' | fill=45 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='310.07' | fill=45 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='1327.23' | fill=45 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='3536.91' | fill=45 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='222.36' | fill=42 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='109.82' | fill=42 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='385.53' | fill=42 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='1500.26' | fill=42 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='3765.15' | fill=42 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A6 | value='00AAFX' | fill=FFFFC000 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Portsoken' | fill=FFFFC000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='549.84' | fill=FF0070C0 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='18.46' | fill=43 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='8.76' | fill=43 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='33.5' | fill=43 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='136.43' | fill=43 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='352.7' | fill=43 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='15.83' | fill=45 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='7.23' | fill=45 | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='29.93' | fill=45 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='128.13' | fill=45 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='341.44' | fill=45 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='21.47' | fill=42 | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='10.6' | fill=42 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='37.22' | fill=42 | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='144.83' | fill=42 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='363.48' | fill=42 | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A7 | value='00ABFX' | fill=FFFFC000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='Abbey' | fill=FFFFC000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='7266.16' | fill=FF0070C0 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='460.03' | fill=43 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='208.03' | fill=43 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='737.17' | fill=43 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='2277.84' | fill=43 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='3583.09' | fill=43 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='399.05' | fill=45 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='173.03' | fill=45 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='656.95' | fill=45 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='2173.42' | fill=45 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='3451.05' | fill=45 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='528.74' | fill=42 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='249.62' | fill=42 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='814.69' | fill=42 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='2379.5' | fill=42 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='3718.38' | fill=42 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A8 | value='00ABFY' | fill=FFFFC000 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Alibon' | fill=FFFFC000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='6555.84' | fill=FF0070C0 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='456.56' | fill=43 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='203.66' | fill=43 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='712.75' | fill=43 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='2142.3' | fill=43 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='3040.57' | fill=43 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='394.29' | fill=45 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='169.23' | fill=45 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='632.59' | fill=45 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='2043.19' | fill=45 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='2904.74' | fill=45 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='520.48' | fill=42 | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='243.72' | fill=42 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='787.5' | fill=42 | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='2238.87' | fill=42 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='3177.6' | fill=42 | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A9 | value='00ABFZ' | fill=FFFFC000 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Becontree' | fill=FFFFC000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='7064.3' | fill=FF0070C0 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='461.06' | fill=43 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='207.65' | fill=43 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='734.37' | fill=43 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='2261.15' | fill=43 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='3400.07' | fill=43 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='400.09' | fill=45 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='171.83' | fill=45 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='652.45' | fill=45 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='2158.3' | fill=45 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='3259.34' | fill=45 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='526.01' | fill=42 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='248.13' | fill=42 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='809.54' | fill=42 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='2361.45' | fill=42 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='3529.07' | fill=42 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A10 | value='00ABGA' | fill=FFFFC000 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Chadwell Heath' | fill=FFFFC000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='5610.32' | fill=FF0070C0 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='352.88' | fill=43 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='158.8' | fill=43 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='563.48' | fill=43 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='1774.24' | fill=43 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='2760.93' | fill=43 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='306.09' | fill=45 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='132.01' | fill=45 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='502.36' | fill=45 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='1693.48' | fill=45 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='2649.61' | fill=45 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='401.45' | fill=42 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='190.68' | fill=42 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='623.39' | fill=42 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='1854.99' | fill=42 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='2865.15' | fill=42 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A11 | value='00ABGB' | fill=FFFFC000 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Eastbrook' | fill=FFFFC000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='6334.88' | fill=FF0070C0 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='313.65' | fill=43 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='146.15' | fill=43 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='541.94' | fill=43 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='1911.61' | fill=43 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='3421.53' | fill=43 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='273.19' | fill=45 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='120.52' | fill=45 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='484.53' | fill=45 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='1815.82' | fill=45 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='3299.82' | fill=45 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='360.26' | fill=42 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='175.92' | fill=42 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='601.59' | fill=42 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='1995.85' | fill=42 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='3529.29' | fill=42 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A12 | value='00ABGC' | fill=FFFFC000 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Eastbury' | fill=FFFFC000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='7028.04' | fill=FF0070C0 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='444.61' | fill=43 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='201.71' | fill=43 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='718.88' | fill=43 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='2245.28' | fill=43 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='3417.56' | fill=43 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='386.97' | fill=45 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='167.41' | fill=45 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='638.52' | fill=45 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='2142.29' | fill=45 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='3273.5' | fill=45 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='505.93' | fill=42 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='242.24' | fill=42 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='796.51' | fill=42 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='2344.22' | fill=42 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='3552.77' | fill=42 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A13 | value='00ABGD' | fill=FFFFC000 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Gascoigne' | fill=FFFFC000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='6817.85' | fill=FF0070C0 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='596.06' | fill=43 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='259.21' | fill=43 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='874.42' | fill=43 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='2334.45' | fill=43 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='2753.72' | fill=43 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='506.43' | fill=45 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='213.98' | fill=45 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='777.28' | fill=45 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='2225.83' | fill=45 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='2606.19' | fill=45 | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='691.94' | fill=42 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='311.15' | fill=42 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='963.63' | fill=42 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='2437.98' | fill=42 | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='2933.62' | fill=42 | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A14 | value='00ABGE' | fill=FFFFC000 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Goresbrook' | fill=FFFFC000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='7035.49' | fill=FF0070C0 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='468.7' | fill=43 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='209.93' | fill=43 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='739.37' | fill=43 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='2271.3' | fill=43 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='3346.18' | fill=43 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='407.29' | fill=45 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='174.61' | fill=45 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='659.12' | fill=45 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='2166.47' | fill=45 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='3204.3' | fill=45 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='533.43' | fill=42 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='251.56' | fill=42 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='816.7' | fill=42 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='2374.99' | fill=42 | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='3483.63' | fill=42 | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A15 | value='00ABGF' | fill=FFFFC000 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Heath' | fill=FFFFC000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='6140.85' | fill=FF0070C0 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='437.96' | fill=43 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='195.12' | fill=43 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='680.31' | fill=43 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='2013.64' | fill=43 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='2813.83' | fill=43 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='377.37' | fill=45 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='163.38' | fill=45 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='603.92' | fill=45 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='1918.8' | fill=45 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='2687.45' | fill=45 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='497.53' | fill=42 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='233.26' | fill=42 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='751.38' | fill=42 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='2104.27' | fill=42 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='2943.1' | fill=42 | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A16 | value='00ABGG' | fill=FFFFC000 | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Longbridge' | fill=FFFFC000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
