=== economy-table75.xlsx ===
Cell A1 | value='PRIORITY' | fill=FFFFFF00 | rows=[0] | cols=[0, 1] | col_header=True | row_header=True | metadata=False
Cell A11 | value='2' | fill=00000000 | rows=[10, 11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='2' | fill=00000000 | rows=[10, 11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='EMEA' | fill=00000000 | rows=[10, 11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='A' | fill=00000000 | rows=[10, 11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='Luxembourg' | fill=00000000 | rows=[10, 11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='SD' | fill=00000000 | rows=[10, 11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='D' | fill=00000000 | rows=[10, 11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='847' | fill=00000000 | rows=[10, 11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='2013-01-01 00:00:00' | fill=22 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='2013-07-01 00:00:00' | fill=22 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='2013-07-01 00:00:00' | fill=22 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='$90,000' | fill=00000000 | rows=[10, 11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='$0' | fill=00000000 | rows=[10, 11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='$0' | fill=00000000 | rows=[10, 11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='0.5' | fill=00000000 | rows=[10, 11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='$90,000' | fill=00000000 | rows=[10, 11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I12 | value='2013-01-01 00:00:00' | fill=50 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A13 | value='2' | fill=00000000 | rows=[12, 13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='1' | fill=00000000 | rows=[12, 13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='EMEA' | fill=00000000 | rows=[12, 13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='C' | fill=00000000 | rows=[12, 13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='Lisbon' | fill=00000000 | rows=[12, 13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='SD' | fill=00000000 | rows=[12, 13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='C' | fill=00000000 | rows=[12, 13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='156' | fill=00000000 | rows=[12, 13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='2012-11-01 00:00:00' | fill=22 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='2012-02-01 00:00:00' | fill=None | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='2012-05-01 00:00:00' | fill=None | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='$45,000' | fill=00000000 | rows=[12, 13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='$45,000' | fill=00000000 | rows=[12, 13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='$0' | fill=00000000 | rows=[12, 13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='0.33' | fill=00000000 | rows=[12, 13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='$90,000' | fill=00000000 | rows=[12, 13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I14 | value='2012-11-01 00:00:00' | fill=FF92D050 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A15 | value='1' | fill=00000000 | rows=[14, 15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='1' | fill=00000000 | rows=[14, 15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='EMEA' | fill=00000000 | rows=[14, 15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='E' | fill=00000000 | rows=[14, 15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='HAMBURG' | fill=00000000 | rows=[14, 15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='LTN' | fill=00000000 | rows=[14, 15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='A' | fill=00000000 | rows=[14, 15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='848' | fill=00000000 | rows=[14, 15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='2012-07-01 00:00:00' | fill=22 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='2012-12-01 00:00:00' | fill=22 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='2013-03-01 00:00:00' | fill=22 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='379260' | fill=00000000 | rows=[14, 15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='1905000' | fill=00000000 | rows=[14, 15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='0' | fill=00000000 | rows=[14, 15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='1' | fill=00000000 | rows=[14, 15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='2284260' | fill=00000000 | rows=[14, 15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I16 | value='2012-07-01 00:00:00' | fill=50 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='2013-02-01 00:00:00' | fill=FFFFC000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='2013-06-01 00:00:00' | fill=13 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A17 | value='1' | fill=00000000 | rows=[16, 17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='1' | fill=00000000 | rows=[16, 17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='EMEA' | fill=00000000 | rows=[16, 17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='Q' | fill=00000000 | rows=[16, 17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='Istanbul' | fill=00000000 | rows=[16, 17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='SD' | fill=00000000 | rows=[16, 17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='D' | fill=00000000 | rows=[16, 17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='265' | fill=00000000 | rows=[16, 17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='2013-06-01 00:00:00' | fill=22 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='2013-07-01 00:00:00' | fill=22 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='2013-08-01 00:00:00' | fill=FFFFC000 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='91760' | fill=00000000 | rows=[16, 17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='479520' | fill=00000000 | rows=[16, 17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='0' | fill=00000000 | rows=[16, 17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='0.75' | fill=00000000 | rows=[16, 17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='571280' | fill=00000000 | rows=[16, 17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell A19 | value='1' | fill=00000000 | rows=[18, 19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='1' | fill=00000000 | rows=[18, 19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='Asia' | fill=00000000 | rows=[18, 19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='AirAsia' | fill=00000000 | rows=[18, 19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='Malaysia' | fill=00000000 | rows=[18, 19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='SD' | fill=00000000 | rows=[18, 19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='COCKPIT' | fill=00000000 | rows=[18, 19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='A320' | fill=00000000 | rows=[18, 19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='2011-10-01 00:00:00' | fill=22 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='2013-03-01 00:00:00' | fill=22 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='2013-06-01 00:00:00' | fill=FFC0C0C0 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='148800' | fill=00000000 | rows=[18, 19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='397800' | fill=00000000 | rows=[18, 19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='0' | fill=00000000 | rows=[18, 19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='1' | fill=00000000 | rows=[18, 19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='546600' | fill=00000000 | rows=[18, 19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I20 | value='2011-10-01 00:00:00' | fill=50 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='2012-07-01 00:00:00' | fill=FF99CC00 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='2013-07-01 00:00:00' | fill=FFFFC000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A21 | value='2' | fill=00000000 | rows=[20, 21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='1' | fill=00000000 | rows=[20, 21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='Asia' | fill=00000000 | rows=[20, 21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='Air China' | fill=00000000 | rows=[20, 21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='Beijing' | fill=00000000 | rows=[20, 21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='SD' | fill=00000000 | rows=[20, 21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='FDW' | fill=00000000 | rows=[20, 21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='AIRBUS' | fill=00000000 | rows=[20, 21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='2013-01-01 00:00:00' | fill=FFC0C0C0 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='2013-04-01 00:00:00' | fill=FFC0C0C0 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='2013-03-01 00:00:00' | fill=FFC0C0C0 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='0' | fill=00000000 | rows=[20, 21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='0' | fill=00000000 | rows=[20, 21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='540000' | fill=00000000 | rows=[20, 21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='1' | fill=00000000 | rows=[20, 21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='540000' | fill=00000000 | rows=[20, 21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I22 | value='2013-01-01 00:00:00' | fill=FF92D050 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='2013-02-01 00:00:00' | fill=FF92D050 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='2013-02-01 00:00:00' | fill=FF92D050 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A23 | value='2' | fill=00000000 | rows=[22, 23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='1' | fill=00000000 | rows=[22, 23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='Asia' | fill=00000000 | rows=[22, 23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='Air China' | fill=00000000 | rows=[22, 23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='Beijing' | fill=00000000 | rows=[22, 23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='SD' | fill=00000000 | rows=[22, 23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='FDW' | fill=00000000 | rows=[22, 23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='BOE' | fill=00000000 | rows=[22, 23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='2013-02-01 00:00:00' | fill=FFC0C0C0 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='2014-08-01 00:00:00' | fill=FFC0C0C0 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='2014-03-01 00:00:00' | fill=FFC0C0C0 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='44640' | fill=00000000 | rows=[22, 23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='119340' | fill=00000000 | rows=[22, 23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='0' | fill=00000000 | rows=[22, 23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='0.5' | fill=00000000 | rows=[22, 23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='163980' | fill=00000000 | rows=[22, 23] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I24 | value='2013-03-01 00:00:00' | fill=FF99CC00 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='2014-08-01 00:00:00' | fill=00000000 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='2014-03-01 00:00:00' | fill=00000000 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A25 | value='2' | fill=00000000 | rows=[24, 25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='1' | fill=00000000 | rows=[24, 25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='Asia' | fill=00000000 | rows=[24, 25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='Air China' | fill=00000000 | rows=[24, 25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='Beijing' | fill=00000000 | rows=[24, 25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='SD' | fill=00000000 | rows=[24, 25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='PAX' | fill=00000000 | rows=[24, 25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='BOE' | fill=00000000 | rows=[24, 25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='2013-05-01 00:00:00' | fill=FFC0C0C0 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='2014-02-01 00:00:00' | fill=FFC0C0C0 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='2014-01-01 00:00:00' | fill=FFC0C0C0 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='411744' | fill=00000000 | rows=[24, 25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='0' | fill=00000000 | rows=[24, 25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='1205900' | fill=00000000 | rows=[24, 25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='0.5' | fill=00000000 | rows=[24, 25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='1617644' | fill=00000000 | rows=[24, 25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I26 | value='2013-07-01 00:00:00' | fill=FFC0C0C0 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='2014-02-01 00:00:00' | fill=00000000 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='2014-01-01 00:00:00' | fill=00000000 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B27 | value='1' | fill=00000000 | rows=[26, 27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='Asia' | fill=00000000 | rows=[26, 27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='Sichuan Airlines' | fill=00000000 | rows=[26, 27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='Chengdu' | fill=00000000 | rows=[26, 27] | cols=[4] | col_header=False | row_header=False | metadata=False
