=== economy-table28.xlsx ===
Cell B1 | value='Fossil Fuel Support - Netherlands' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell E11 | value='Natural Gas' | fill=FFE2F2FB | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H11 | value='83000000' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='134000000' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='68000000' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='84000000' | fill=00000000 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='83000000' | fill=00000000 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='106000000' | fill=00000000 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='125000000' | fill=00000000 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='128000000' | fill=00000000 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='115000000' | fill=00000000 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='94000000' | fill=00000000 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='130000000' | fill=00000000 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='159000000' | fill=00000000 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='161000000' | fill=00000000 | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='171000000' | fill=00000000 | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Energy Tax Rebate for Non Profit Organisations and Religious Institutions' | fill=FFE2F2FB | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='Total' | fill=FFE2F2FB | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Energy Tax Rebate for Non Profit Organisations and Religious Institutions' | fill=FFE2F2FB | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Energy Tax Rebate for Non Profit Organisations and Religious Institutions' | fill=FFE2F2FB | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='Natural Gas' | fill=FFE2F2FB | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='Total economy' | fill=FFE2F2FB | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Energy Tax Rebate for Non Profit Organisations and Religious Institutions' | fill=FFE2F2FB | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='Natural Gas' | fill=FFE2F2FB | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='·  General government' | fill=FFE2F2FB | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Energy Tax Rebate for Non Profit Organisations and Religious Institutions' | fill=FFE2F2FB | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='Natural Gas' | fill=FFE2F2FB | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H16 | value='21603377' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='22969720' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='28024479' | fill=00000000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='33217693' | fill=00000000 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='23718416' | fill=00000000 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='18751305' | fill=00000000 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='27639560' | fill=00000000 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='22792322' | fill=00000000 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='23595856' | fill=00000000 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='26539603' | fill=00000000 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='28490086' | fill=00000000 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='23593771' | fill=00000000 | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='18692402' | fill=00000000 | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U16 | value='24923202' | fill=00000000 | rows=[15] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Differentiated Tax Rate on Diesel Fuel' | fill=FFE2F2FB | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='Total' | fill=FFE2F2FB | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Differentiated Tax Rate on Diesel Fuel' | fill=FFE2F2FB | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Differentiated Tax Rate on Diesel Fuel' | fill=FFE2F2FB | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='Petroleum' | fill=FFE2F2FB | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Differentiated Tax Rate on Diesel Fuel' | fill=FFE2F2FB | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='Total economy' | fill=FFE2F2FB | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Differentiated Tax Rate on Diesel Fuel' | fill=FFE2F2FB | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='·  General government' | fill=FFE2F2FB | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Differentiated Tax Rate on Diesel Fuel' | fill=FFE2F2FB | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H22 | value='222000000' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='210000000' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='228000000' | fill=00000000 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='..' | fill=00000000 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='..' | fill=00000000 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='..' | fill=00000000 | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='..' | fill=00000000 | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='..' | fill=00000000 | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='..' | fill=00000000 | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='..' | fill=00000000 | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='..' | fill=00000000 | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='..' | fill=00000000 | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T22 | value='..' | fill=00000000 | rows=[21] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U22 | value='..' | fill=00000000 | rows=[21] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Marginal Fields and Prospects Incentive' | fill=FFE2F2FB | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='Total' | fill=FFE2F2FB | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Marginal Fields and Prospects Incentive' | fill=FFE2F2FB | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Marginal Fields and Prospects Incentive' | fill=FFE2F2FB | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='Petroleum' | fill=FFE2F2FB | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B26 | value='Marginal Fields and Prospects Incentive' | fill=FFE2F2FB | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='·  Natural Gas Liquids' | fill=FFE2F2FB | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='Total economy' | fill=FFE2F2FB | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B27 | value='Marginal Fields and Prospects Incentive' | fill=FFE2F2FB | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='·  Natural Gas Liquids' | fill=FFE2F2FB | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='·  General government' | fill=FFE2F2FB | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B28 | value='Marginal Fields and Prospects Incentive' | fill=FFE2F2FB | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='·  Natural Gas Liquids' | fill=FFE2F2FB | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H28 | value='..' | fill=00000000 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='..' | fill=00000000 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='..' | fill=00000000 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='..' | fill=00000000 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='..' | fill=00000000 | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='..' | fill=00000000 | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='..' | fill=00000000 | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='..' | fill=00000000 | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='..' | fill=00000000 | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='..' | fill=00000000 | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R28 | value='..' | fill=00000000 | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='..' | fill=00000000 | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T28 | value='..' | fill=00000000 | rows=[27] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U28 | value='..' | fill=00000000 | rows=[27] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B29 | value='Marginal Fields and Prospects Incentive' | fill=FFE2F2FB | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='Natural Gas' | fill=FFE2F2FB | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='Total economy' | fill=FFE2F2FB | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B30 | value='Marginal Fields and Prospects Incentive' | fill=FFE2F2FB | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='Natural Gas' | fill=FFE2F2FB | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='·  General government' | fill=FFE2F2FB | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B31 | value='Marginal Fields and Prospects Incentive' | fill=FFE2F2FB | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='Natural Gas' | fill=FFE2F2FB | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H31 | value='..' | fill=00000000 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='..' | fill=00000000 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='..' | fill=00000000 | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K31 | value='..' | fill=00000000 | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L31 | value='..' | fill=00000000 | rows=[30] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M31 | value='..' | fill=00000000 | rows=[30] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N31 | value='..' | fill=00000000 | rows=[30] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O31 | value='..' | fill=00000000 | rows=[30] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P31 | value='..' | fill=00000000 | rows=[30] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q31 | value='..' | fill=00000000 | rows=[30] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R31 | value='..' | fill=00000000 | rows=[30] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S31 | value='..' | fill=00000000 | rows=[30] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T31 | value='..' | fill=00000000 | rows=[30] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U31 | value='..' | fill=00000000 | rows=[30] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B32 | value='Refund scheme for energy-intensive industry under conditions' | fill=FFE2F2FB | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='Total' | fill=FFE2F2FB | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B33 | value='Refund scheme for energy-intensive industry under conditions' | fill=FFE2F2FB | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B34 | value='Refund scheme for energy-intensive industry under conditions' | fill=FFE2F2FB | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='Use of fossil fuels in the industrial sector' | fill=FFE2F2FB | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='Natural Gas' | fill=FFE2F2FB | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='Total economy' | fill=FFE2F2FB | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B35 | value='Refund scheme for energy-intensive industry under conditions' | fill=FFE2F2FB | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='Use of fossil fuels in the industrial sector' | fill=FFE2F2FB | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='Natural Gas' | fill=FFE2F2FB | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='·  General government' | fill=FFE2F2FB | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B36 | value='Refund scheme for energy-intensive industry under conditions' | fill=FFE2F2FB | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='Use of fossil fuels in the industrial sector' | fill=FFE2F2FB | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='Natural Gas' | fill=FFE2F2FB | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F36 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H36 | value='..' | fill=00000000 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I36 | value='..' | fill=00000000 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J36 | value='..' | fill=00000000 | rows=[35] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K36 | value='..' | fill=00000000 | rows=[35] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L36 | value='..' | fill=00000000 | rows=[35] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M36 | value='..' | fill=00000000 | rows=[35] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N36 | value='5000000' | fill=00000000 | rows=[35] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O36 | value='6000000' | fill=00000000 | rows=[35] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P36 | value='7000000' | fill=00000000 | rows=[35] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q36 | value='8000000' | fill=00000000 | rows=[35] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R36 | value='8000000' | fill=00000000 | rows=[35] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S36 | value='..' | fill=00000000 | rows=[35] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T36 | value='..' | fill=00000000 | rows=[35] | cols=[19] | col_header=False | row_header=False | metadata=False
