=== education-table18.xlsx ===
Cell A2 | value='Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25] | col_header=False | row_header=False | metadata=True
Cell T8 | value='4.7265625' | fill=00000000 | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='1-3' | fill=00000000 | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='0.078125' | fill=00000000 | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='68' | fill=00000000 | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='2.65625' | fill=00000000 | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y8 | value='726' | fill=00000000 | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z8 | value='100' | fill=00000000 | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Total' | fill=None | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='2560' | fill=None | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='100' | fill=None | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='10' | fill=None | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='0.390625' | fill=None | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='21' | fill=None | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0.8203125' | fill=None | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='273' | fill=None | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='10.6640625' | fill=None | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='653' | fill=None | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='25.5078125' | fill=None | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='1533' | fill=None | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='59.8828125' | fill=None | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='4' | fill=None | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='0.15625' | fill=None | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='66' | fill=None | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='2.578125' | fill=None | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='413' | fill=None | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='16.1328125' | fill=None | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='8' | fill=None | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V9 | value='0.3125' | fill=None | rows=[8] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W9 | value='218' | fill=None | rows=[8] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X9 | value='8.515625' | fill=None | rows=[8] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y9 | value='726' | fill=None | rows=[8] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z9 | value='100' | fill=None | rows=[8] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Male' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='1575' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='61.5474794841735' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='10' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='0.390777647518562' | fill=00000000 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='4' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='0.156311059007425' | fill=00000000 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='96' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='3.75146541617819' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='666' | fill=00000000 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='26.0257913247362' | fill=00000000 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='777' | fill=00000000 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='30.3634232121923' | fill=00000000 | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='0' | fill=00000000 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='0' | fill=00000000 | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='22' | fill=00000000 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='0.859710824540836' | fill=00000000 | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='209' | fill=00000000 | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='8.16725283313794' | fill=00000000 | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='6' | fill=00000000 | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V10 | value='0.234466588511137' | fill=00000000 | rows=[9] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W10 | value='54' | fill=00000000 | rows=[9] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X10 | value='2.11019929660023' | fill=00000000 | rows=[9] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y10 | value='745' | fill=00000000 | rows=[9] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z10 | value='100' | fill=00000000 | rows=[9] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A11 | value='1' | fill=None | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Female' | fill=None | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='984' | fill=None | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='38.4525205158265' | fill=None | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='7' | fill=None | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='0.273544353262993' | fill=None | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='1-3' | fill=None | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0.0781555295037124' | fill=None | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='91' | fill=None | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='3.55607659241891' | fill=None | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='342' | fill=None | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='13.3645955451348' | fill=None | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='518' | fill=None | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='20.2422821414615' | fill=None | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='1-3' | fill=None | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='0.0781555295037124' | fill=None | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='22' | fill=None | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='0.859710824540836' | fill=None | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='94' | fill=None | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='3.67330988667448' | fill=None | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='1-3' | fill=None | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V11 | value='0.0781555295037124' | fill=None | rows=[10] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W11 | value='59' | fill=None | rows=[10] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X11 | value='2.30558812035952' | fill=None | rows=[10] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y11 | value='745' | fill=None | rows=[10] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z11 | value='100' | fill=None | rows=[10] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Total' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='2559' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='100' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='17' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='0.664322000781555' | fill=00000000 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='6' | fill=00000000 | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='0.234466588511137' | fill=00000000 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='187' | fill=00000000 | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='7.30754200859711' | fill=00000000 | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='1008' | fill=00000000 | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='39.390386869871' | fill=00000000 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='1295' | fill=00000000 | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='50.6057053536538' | fill=00000000 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='1-3' | fill=00000000 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='0.0781555295037124' | fill=00000000 | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='44' | fill=00000000 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='1.71942164908167' | fill=00000000 | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='303' | fill=00000000 | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='11.8405627198124' | fill=00000000 | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='8' | fill=00000000 | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V12 | value='0.31262211801485' | fill=00000000 | rows=[11] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W12 | value='113' | fill=00000000 | rows=[11] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X12 | value='4.41578741695975' | fill=00000000 | rows=[11] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y12 | value='745' | fill=00000000 | rows=[11] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z12 | value='100' | fill=00000000 | rows=[11] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Male' | fill=None | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='564' | fill=None | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='60.972972972973' | fill=None | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='1-3' | fill=None | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='0.216216216216216' | fill=None | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='1-3' | fill=None | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='0.216216216216216' | fill=None | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='32' | fill=None | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='3.45945945945946' | fill=None | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='238' | fill=None | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='25.7297297297297' | fill=None | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='272' | fill=None | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='29.4054054054054' | fill=None | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='1-3' | fill=None | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='0.216216216216216' | fill=None | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='16' | fill=None | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='1.72972972972973' | fill=None | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='78' | fill=None | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T13 | value='8.43243243243243' | fill=None | rows=[12] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U13 | value='1-3' | fill=None | rows=[12] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V13 | value='0.216216216216216' | fill=None | rows=[12] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W13 | value='22' | fill=None | rows=[12] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X13 | value='2.37837837837838' | fill=None | rows=[12] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y13 | value='746' | fill=None | rows=[12] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z13 | value='100' | fill=None | rows=[12] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A14 | value='2' | fill=00000000 | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='Female' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='361' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='39.027027027027' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='1-3' | fill=00000000 | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='0.216216216216216' | fill=00000000 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='0' | fill=00000000 | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='0' | fill=00000000 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='27' | fill=00000000 | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='2.91891891891892' | fill=00000000 | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='155' | fill=00000000 | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='16.7567567567568' | fill=00000000 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='171' | fill=00000000 | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='18.4864864864865' | fill=00000000 | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='0' | fill=00000000 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='0' | fill=00000000 | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='6' | fill=00000000 | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='0.648648648648649' | fill=00000000 | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='22' | fill=00000000 | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='2.37837837837838' | fill=00000000 | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U14 | value='0' | fill=00000000 | rows=[13] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V14 | value='0' | fill=00000000 | rows=[13] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W14 | value='15' | fill=00000000 | rows=[13] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X14 | value='1.62162162162162' | fill=00000000 | rows=[13] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y14 | value='746' | fill=00000000 | rows=[13] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z14 | value='100' | fill=00000000 | rows=[13] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B15 | value='Total' | fill=None | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='925' | fill=None | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='100' | fill=None | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='4' | fill=None | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='0.432432432432432' | fill=None | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='1-3' | fill=None | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='0.216216216216216' | fill=None | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='59' | fill=None | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='6.37837837837838' | fill=None | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='393' | fill=None | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
