=== economy-table17.xlsx ===
Cell A1 | value='BUSINESS PLAN QUARTERLY DATA SUMMARY - JULY 2012' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] | col_header=True | row_header=True | metadata=True
Cell N9 | value='3.25' | fill=None | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='Department Family' | fill=31 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='30720' | fill=None | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='30965' | fill=None | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Up to top 5 contributory elements' | fill=FF00B050 | rows=[9, 10, 11, 12, 13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B10 | value='A: Crime and Policing' | fill=None | rows=[9] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='1746.593' | fill=None | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='1633.6' | fill=None | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H10 | value='Cost per m2 (£)' | fill=31 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='121' | fill=None | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='Not applicable' | fill=None | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L10 | value='4 Cost per decision for all permanent and temporary migration applications (£, current = 2011-12, previous = 2010-11)' | fill=31 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='223' | fill=None | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='212' | fill=None | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P10 | value='Average Staff Costs
(£, current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=31 | rows=[9] | cols=[15, 16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='38218' | fill=None | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='37827' | fill=None | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B11 | value='B: UK Border Agency' | fill=None | rows=[10] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='422.661' | fill=None | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='372.9' | fill=None | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G11 | value='Procurement' | fill=31 | rows=[10, 11, 12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='Total Procurement Spend (£million)' | fill=31 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='852.24' | fill=None | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='677.28' | fill=None | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L11 | value='5 Cost of producing and issuing a passport (£, current = 2011-12, previous = 2010-11)' | fill=31 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='64.68' | fill=None | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='71' | fill=None | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P11 | value='Contingent Labour
[Total full-time equivalent by] 
(current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=31 | rows=[10, 11, 12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='Department and Agencies' | fill=31 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='392' | fill=None | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='479' | fill=None | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B12 | value='C: Security & Counter Terrorism' | fill=None | rows=[11] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='287.405' | fill=None | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='224.9' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H12 | value='Price of standard box of A4 white copier paper (£/2500 sheets)' | fill=31 | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='11.39' | fill=None | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='11.39' | fill=None | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L12 | value='Impact Indicators' | fill=00000000 | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='Current' | fill=FFFFFF00 | rows=[11] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N12 | value='Previous' | fill=FFFFFF00 | rows=[11] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell Q12 | value='Non-departmental public bodies' | fill=31 | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='190.19' | fill=None | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='187' | fill=None | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B13 | value='D: Identity & Passports' | fill=None | rows=[12] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='-26.249' | fill=None | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='-13.4' | fill=None | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H13 | value='Average price of energy (£/KWH)' | fill=31 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='0.09' | fill=None | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J13 | value='0.09' | fill=None | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L13 | value='1 Crime rates - violent and property crime reported to the police (current = 12 months to the end of December 2011, previous = 12 months to the end of December 2010)' | fill=31 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='3448334' | fill=None | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='3533597' | fill=None | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='Department Family' | fill=31 | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='582' | fill=None | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='666' | fill=None | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B14 | value='E: Central Home Office' | fill=None | rows=[13] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='78.288' | fill=None | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='87.5' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G14 | value='IT' | fill=31 | rows=[13, 14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='Total 3rd Party ICT Cost (£million)' | fill=31 | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='216.84' | fill=None | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='110.58' | fill=None | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L14 | value='2a Number of known organised criminals (current = 30 June 2011)' | fill=31 | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='38861' | fill=None | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='Not applicable' | fill=None | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P14 | value='Department and Agencies Only' | fill=FFFFFF00 | rows=[13] | cols=[15, 16] | col_header=True | row_header=False | metadata=False
Cell R14 | value='Current' | fill=FFFFFF00 | rows=[13] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S14 | value='Previous' | fill=FFFFFF00 | rows=[13] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell A15 | value='Purchase of goods and services within Resource DEL' | fill=31 | rows=[14] | cols=[0, 1, 2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='684.835' | fill=None | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='660.1' | fill=None | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H15 | value='Cost of desktop provision per FTE (£)' | fill=31 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='243.15' | fill=None | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='237.27' | fill=None | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L15 | value='2b Number of organised crime groups (current = 30 June 2011)' | fill=31 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='7255' | fill=None | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='Not applicable' | fill=None | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P15 | value='Workforce Shape
[Total full-time equivalent by]
(%, current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=FF00B050 | rows=[14, 15, 16, 17, 18, 19] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q15 | value='Administrative Assistants and Administrative Officers' | fill=31 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='32.1' | fill=None | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='32.4' | fill=None | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Payroll within Resource DEL' | fill=31 | rows=[15] | cols=[0, 1, 2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='390.215' | fill=None | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='428.9' | fill=None | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G16 | value='Corporate Service Cost' | fill=31 | rows=[15, 16, 17, 18, 19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='Human Resources (£million)' | fill=31 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='18.14' | fill=None | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='18.07' | fill=None | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L16 | value='3 Net migration  to the UK (current = year  to Sept 2011, previous = year to June 2011)' | fill=FFCCCCFF | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='252000' | fill=None | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='250000' | fill=None | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='Executive Officers' | fill=31 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='37.6' | fill=None | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='37.6' | fill=None | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Grants within Resource DEL' | fill=31 | rows=[16] | cols=[0, 1, 2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='1843.841' | fill=None | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='1659.8' | fill=None | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H17 | value='Finance (£million)' | fill=31 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='7.73' | fill=None | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='7.63' | fill=None | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L17 | value='4 Annual level of tax revenue that is protected through detecting goods where excise duty has not been declared (£million, current =January - March 2012, previous= October - December 2011)' | fill=FFCCCCFF | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='60' | fill=None | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='90' | fill=None | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='Higher and Senior Executive Officers' | fill=31 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='23' | fill=None | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='22.8' | fill=None | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A18 | value='of which Capital DEL' | fill=31 | rows=[17] | cols=[0, 1, 2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='222.883' | fill=None | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='251.8' | fill=None | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H18 | value='Procurement (£million)' | fill=31 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='5.28' | fill=None | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='4.13' | fill=None | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L18 | value='5 Clearance of passengers at the border within published standards (%, current = current =January - March 2012, previous= October - December 2011)' | fill=FFCCCCFF | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='98' | fill=None | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='98' | fill=None | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='Grade 7/6' | fill=31 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='6.4' | fill=None | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='6.3' | fill=None | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Up to top 5 contributory elements' | fill=FF00B050 | rows=[18, 19, 20, 21, 22] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B19 | value='A: Crime and Policing' | fill=None | rows=[18] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='66.988' | fill=None | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='87.3' | fill=None | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H19 | value='Legal (£million)' | fill=31 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='23.17' | fill=None | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='13.03' | fill=None | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L19 | value='6 Percentage of migration applications decided within published standards (%, current =January - March 2012, previous= October - December 2011)' | fill=FFCCCCFF | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='94' | fill=None | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='92' | fill=None | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='Senior Civil Servants' | fill=31 | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='0.9' | fill=None | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='0.9' | fill=None | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B20 | value='B: UK Border Agency' | fill=None | rows=[19] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='45.607' | fill=None | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='75.8' | fill=None | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H20 | value='Communications (£million)' | fill=31 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='12.19' | fill=None | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='8.23' | fill=None | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L20 | value='7 Percentage of asylum applications concluded in one year (%, current =January - March 2012, previous= October - December 2011)' | fill=FFCCCCFF | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='63' | fill=None | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='64' | fill=None | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='Part Time' | fill=31 | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='19.6' | fill=None | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='19' | fill=None | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B21 | value='C: Security & Counter Terrorism' | fill=None | rows=[20] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='58.281' | fill=None | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='63.6' | fill=None | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G21 | value='Fraud, Error, Debt' | fill=31 | rows=[20, 21, 22, 23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='Total Identified Fraud (£million)' | fill=31 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='0.025063' | fill=None | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='0.001949' | fill=None | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L21 | value='8 Passport applications processed within target (%, current = Q4 2011-12, previous = Q3 2011-12)' | fill=31 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='100' | fill=None | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='99' | fill=None | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P21 | value='Workforce Dynamics' | fill=FF00B050 | rows=[20, 21] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q21 | value='Recruitment Exceptions (current = Q4  2011-12, previous = Q3 2011-12)' | fill=31 | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='164' | fill=None | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S21 | value='23' | fill=None | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B22 | value='D: Identity & Passports' | fill=None | rows=[21] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='23.728' | fill=None | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='21.2' | fill=None | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H22 | value='Total known Errors (£million)' | fill=31 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='0' | fill=None | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='0.51' | fill=None | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L22 | value='9a Number of organisations that voluntarily report on the gender diversity of their workforce (Organisations with 250+ employees, current=2009-11)' | fill=31 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='400' | fill=None | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='Not applicable' | fill=None | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='Annual Turnover Rate (%, current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=31 | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='10.8' | fill=None | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='12.5' | fill=None | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B23 | value='E: Central Home Office' | fill=None | rows=[22] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='28.279' | fill=None | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='3.6' | fill=None | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H23 | value='Total Debt (£million)' | fill=31 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='38.37' | fill=None | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='32.97' | fill=None | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L23 | value='9b Number of organisations that voluntarily report on their gender pay gap  (Organisations with 250+ employees, current=2009-11)' | fill=31 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='100' | fill=None | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='Not applicable' | fill=None | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P23 | value='Workforce Diversity
[Total]
(%, current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=FF00B050 | rows=[22, 23, 24] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q23 | value='Black and Minority Ethnic' | fill=31 | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='23.2' | fill=None | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='23.2' | fill=None | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Total Annually Managed Expenditure (AME)' | fill=31 | rows=[23] | cols=[0, 1, 2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='374.23' | fill=None | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='61.3' | fill=None | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H24 | value='Debtor Days' | fill=31 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='9.28' | fill=None | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
