=== environment-table10.xlsx ===
Cell A1 | value='Year' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell D20 | value='89.0514931695138' | fill=58 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='24.9635633795353' | fill=58 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G20 | value='470.06271234' | fill=54 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A21 | value='1989' | fill=00000000 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='47.1764137746041' | fill=58 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='286.855437794279' | fill=58 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='88.9463908524049' | fill=58 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='23.6850727387118' | fill=58 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G21 | value='446.66331516' | fill=54 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A22 | value='1990' | fill=00000000 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='46.25513838' | fill=58 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='286.6398417' | fill=58 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='89.49243132' | fill=58 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='27.5156496' | fill=58 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='2.28002660999999' | fill=58 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='452.18308761' | fill=54 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A23 | value='1991' | fill=00000000 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='50.78190654' | fill=58 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='318.66006942' | fill=58 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='93.59758872' | fill=58 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='31.3434315' | fill=58 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='2.315530674' | fill=58 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='496.698526854' | fill=54 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A24 | value='1992' | fill=00000000 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='44.2691298' | fill=58 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='314.97652278' | fill=58 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='94.9178961' | fill=58 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='32.05351278' | fill=58 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='2.69941836600003' | fill=58 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='488.916479826' | fill=54 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A25 | value='1993' | fill=00000000 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='48.77370792' | fill=58 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='324.57371508' | fill=58 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='95.84987778' | fill=58 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='33.49586538' | fill=58 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='2.66946181200007' | fill=58 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='505.362627972' | fill=54 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A26 | value='1994' | fill=00000000 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='40.2194475' | fill=58 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='314.5992921' | fill=58 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='96.75966942' | fill=58 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='33.32944008' | fill=58 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='2.68055683199998' | fill=58 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='487.588405932' | fill=54 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A27 | value='1995' | fill=00000000 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='29.1244275' | fill=58 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='311.07107574' | fill=58 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='97.5252258' | fill=58 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='33.25177494' | fill=58 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='2.68166633399994' | fill=58 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='473.654170314' | fill=54 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A28 | value='1996' | fill=00000000 | rows=[27] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B28 | value='31.0782809029102' | fill=58 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='358.5526956' | fill=58 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='102.562006954655' | fill=58 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='39.0297487325515' | fill=58 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='2.66835230999993' | fill=58 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='533.891084500116' | fill=54 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A29 | value='1997' | fill=00000000 | rows=[28] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B29 | value='27.4037324594678' | fill=58 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='329.637528' | fill=58 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='99.65007' | fill=58 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='37.5981255419658' | fill=58 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='2.49438239639994' | fill=58 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='496.783838397833' | fill=54 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A30 | value='1998' | fill=00000000 | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B30 | value='26.0038204539283' | fill=58 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='339.52383' | fill=58 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='104.37714' | fill=58 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='39.3110635069248' | fill=58 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='2.55185460000001' | fill=58 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='511.767708560853' | fill=54 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A31 | value='1999' | fill=00000000 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B31 | value='26.7566316124836' | fill=58 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='341.594964' | fill=58 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='105.233832' | fill=58 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='35.0863147364154' | fill=58 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='3.03978314318391' | fill=58 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='511.711525492083' | fill=54 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A32 | value='2000' | fill=00000000 | rows=[31] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B32 | value='21.1716815456521' | fill=58 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='352.893186' | fill=58 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='106.697268' | fill=58 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='35.9411157088073' | fill=58 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='3.1114869795' | fill=58 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='519.814738233959' | fill=54 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A33 | value='2001' | fill=00000000 | rows=[32] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B33 | value='20.3831749715894' | fill=58 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='361.972404' | fill=58 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='110.031498' | fill=58 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='39.1310773824002' | fill=58 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F33 | value='3.02136796956609' | fill=58 | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G33 | value='534.539522323556' | fill=54 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A34 | value='2002' | fill=00000000 | rows=[33] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B34 | value='15.8112196035565' | fill=58 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='359.058833267305' | fill=58 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='114.493744278' | fill=58 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='34.2553774324543' | fill=58 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='3.06820602198013' | fill=58 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G34 | value='526.687380603296' | fill=54 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A35 | value='2003' | fill=00000000 | rows=[34] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B35 | value='12.8585571288861' | fill=58 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='368.707914250962' | fill=58 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='117.3427215102' | fill=58 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='34.0415580419148' | fill=58 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='2.86133964120006' | fill=58 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='535.812090573163' | fill=54 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A36 | value='2004' | fill=00000000 | rows=[35] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B36 | value='11.0882898092904' | fill=58 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='378.175813809407' | fill=58 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='118.48724762987' | fill=58 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='36.2288704434448' | fill=58 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F36 | value='3.36827778300005' | fill=58 | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G36 | value='547.348499475012' | fill=54 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A37 | value='2005' | fill=00000000 | rows=[36] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B37 | value='7.73597382084479' | fill=58 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='364.312539059064' | fill=58 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='119.928425652' | fill=58 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='34.3111341868164' | fill=58 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F37 | value='4.10222403012074' | fill=58 | rows=[36] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G37 | value='530.390296748846' | fill=54 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A38 | value='2006' | fill=00000000 | rows=[37] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B38 | value='7.12068980774732' | fill=58 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='350.0493303718' | fill=58 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='118.967538875056' | fill=58 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='36.0528712914179' | fill=58 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F38 | value='4.54722952330064' | fill=58 | rows=[37] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G38 | value='516.737659869322' | fill=54 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A39 | value='2007' | fill=00000000 | rows=[38] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B39 | value='7.54597440171018' | fill=58 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='336.635986323406' | fill=58 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='117.414526949467' | fill=58 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='31.9020305334741' | fill=58 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='5.01121859570065' | fill=58 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G39 | value='498.509736803757' | fill=54 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A40 | value='2008' | fill=00000000 | rows=[39] | cols=[0] | col_header=False | row_header=False | metadata=False
