=== economy-table14.xlsx ===
Cell A1 | value='Number of tables on this sheet:' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell O16 | value='11036.03' | fill=9 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='7631.45' | fill=9 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='10046.33' | fill=9 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='6979.41' | fill=9 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='9684.18' | fill=9 | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='92738.88' | fill=9 | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U16 | value='105745.29' | fill=9 | rows=[15] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Craft' | fill=9 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='21669.26' | fill=9 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='21885.04' | fill=9 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='26457.18' | fill=9 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='25113.74' | fill=9 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='33014.82' | fill=9 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='26877.73' | fill=9 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='10990.63' | fill=9 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='13631.41' | fill=9 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='29436.18' | fill=9 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='27713.96' | fill=9 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='36550' | fill=9 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='45900.13' | fill=9 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='24170.07' | fill=9 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='25320.14' | fill=9 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='23851.89' | fill=9 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='20438.35' | fill=9 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='26214.9' | fill=9 | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='24471.74' | fill=9 | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T17 | value='234578.19' | fill=9 | rows=[16] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U17 | value='234695.92' | fill=9 | rows=[16] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Design' | fill=9 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='7285.68' | fill=9 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='7076.88' | fill=9 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='14014.12' | fill=9 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='6332.53' | fill=9 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='13888.3' | fill=9 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='14087.66' | fill=9 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='3183.68' | fill=9 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='2481.79' | fill=9 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='8139.48' | fill=9 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='8982.14' | fill=9 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='12719.37' | fill=9 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='14833.56' | fill=9 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='8912.9' | fill=9 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='11207.1' | fill=9 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='8716.71' | fill=9 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='9453.04' | fill=9 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='5853.61' | fill=9 | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='7474.3' | fill=9 | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T18 | value='82713.85' | fill=9 | rows=[17] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U18 | value='81929' | fill=9 | rows=[17] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Dressing/Making' | fill=9 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='750.52' | fill=9 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='992.16' | fill=9 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='0' | fill=9 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='0' | fill=9 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='1304.6' | fill=9 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='990.32' | fill=9 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='55.4' | fill=9 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='55.6' | fill=9 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='739.36' | fill=9 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='343.72' | fill=9 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='323.4' | fill=9 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='181.2' | fill=9 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='449.08' | fill=9 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='470.36' | fill=9 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='183.6' | fill=9 | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='557.44' | fill=9 | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='0' | fill=9 | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='0' | fill=9 | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T19 | value='4633.92' | fill=9 | rows=[18] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U19 | value='4546.56' | fill=9 | rows=[18] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Literature' | fill=9 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='1353.56' | fill=9 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='490.2' | fill=9 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='3279.02' | fill=9 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='1975.62' | fill=9 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='5732.3' | fill=9 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='6683.82' | fill=9 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='211.66' | fill=9 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='640.68' | fill=9 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='1632.48' | fill=9 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='1705.06' | fill=9 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='3728.56' | fill=9 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='3171.48' | fill=9 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='1578.9' | fill=9 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='1458.82' | fill=9 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='655.88' | fill=9 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='1039.3' | fill=9 | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='916.94' | fill=9 | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='1126.32' | fill=9 | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T20 | value='19089.3' | fill=9 | rows=[19] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U20 | value='18291.3' | fill=9 | rows=[19] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Publishing' | fill=9 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='12876.18' | fill=9 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='11709.2' | fill=9 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='22181.76' | fill=9 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='22256.94' | fill=9 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='74661.72' | fill=9 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='64648.87' | fill=9 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='4044.96' | fill=9 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='4621.8' | fill=9 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='18174.63' | fill=9 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='18566.4' | fill=9 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='39267.67' | fill=9 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='32008.68' | fill=9 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='22451.24' | fill=9 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='21715.31' | fill=9 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='11410.92' | fill=9 | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='12425.02' | fill=9 | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='17019.17' | fill=9 | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S21 | value='13080.2' | fill=9 | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T21 | value='224645.51' | fill=9 | rows=[20] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U21 | value='202056.6' | fill=9 | rows=[20] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Radio & TV' | fill=9 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='1488' | fill=9 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='0' | fill=9 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='5891.68' | fill=9 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='3647.64' | fill=9 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='53209.8' | fill=9 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='50370.2' | fill=9 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='2456.12' | fill=9 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='551' | fill=9 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='9407.52' | fill=9 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='6214.92' | fill=9 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='8022.76' | fill=9 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='9786.56' | fill=9 | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='6884.8' | fill=9 | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='5000.52' | fill=9 | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='4357.6' | fill=9 | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='3693.28' | fill=9 | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='3465.64' | fill=9 | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='2482.24' | fill=9 | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T22 | value='95393.44' | fill=9 | rows=[21] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U22 | value='82859.28' | fill=9 | rows=[21] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A23 | value='Software, Computer Games & Electronic Publishing' | fill=9 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='12304.27' | fill=9 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='14439.09' | fill=9 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='25702.87' | fill=9 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='26413.56' | fill=9 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='67657.47' | fill=9 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='71860.4' | fill=9 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='5779.68' | fill=9 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='5415.05' | fill=9 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='24301.05' | fill=9 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='24172.26' | fill=9 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='57114.65' | fill=9 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='56471.76' | fill=9 | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='18561.9' | fill=9 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='22620.36' | fill=9 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='18728.33' | fill=9 | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='20505.19' | fill=9 | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='16676.16' | fill=9 | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='18933.08' | fill=9 | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T23 | value='247218.88' | fill=9 | rows=[22] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U23 | value='261329.5' | fill=9 | rows=[22] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Video, Film & Photography' | fill=9 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='1019.09' | fill=9 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='3953.42' | fill=9 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='3872.53' | fill=9 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='2698.37' | fill=9 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='27029.46' | fill=9 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='17309.39' | fill=9 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='1471.93' | fill=9 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='582.7' | fill=9 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='3182.52' | fill=9 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='2693.71' | fill=9 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='8584.08' | fill=9 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='8885.97' | fill=9 | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='5089.81' | fill=9 | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='3617.37' | fill=9 | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P24 | value='2101.83' | fill=9 | rows=[23] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q24 | value='1531.88' | fill=9 | rows=[23] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R24 | value='1623.98' | fill=9 | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S24 | value='4098.27' | fill=9 | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T24 | value='57192.23' | fill=9 | rows=[23] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U24 | value='49547.08' | fill=9 | rows=[23] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Art & Antiques' | fill=9 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='1606.01538489295' | fill=9 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
