=== economy-table64.xlsx ===
Cell A1 | value='60507 - Fitness Memberships' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7] | col_header=True | row_header=True | metadata=True
Cell B16 | value='MAY' | fill=6 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='12' | fill=6 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='114003-40' | fill=6 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='-1.27897692436818e-13' | fill=9 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H16 | value='-1.27897692436818e-13' | fill=9 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A17 | value='3month' | fill=6 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='JUN' | fill=6 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='3' | fill=6 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='114003-40' | fill=6 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='0' | fill=9 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H17 | value='0' | fill=9 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A18 | value='12 month' | fill=6 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='JUN' | fill=6 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='12' | fill=6 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='114003-40' | fill=6 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='0' | fill=9 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H18 | value='0' | fill=9 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A19 | value='3month' | fill=6 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='JUL' | fill=6 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='3' | fill=6 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='114003-40' | fill=6 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='0' | fill=9 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H19 | value='0' | fill=9 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A20 | value='12 month' | fill=6 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='JUL' | fill=6 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='12' | fill=6 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='114003-40' | fill=6 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='-1.13686837721616e-13' | fill=9 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G20 | value='0' | fill=9 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='-1.13686837721616e-13' | fill=9 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A21 | value='3month' | fill=6 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='AUG' | fill=6 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='3' | fill=6 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='114003-40' | fill=6 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='0' | fill=9 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G21 | value='0' | fill=9 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='0' | fill=9 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A22 | value='12 month' | fill=6 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='AUG' | fill=6 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='12' | fill=6 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='114003-40' | fill=6 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='-2.70006239588838e-13' | fill=9 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G22 | value='0' | fill=9 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='-2.70006239588838e-13' | fill=9 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A23 | value='3month' | fill=6 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='SEP' | fill=6 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='3' | fill=6 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='114003-40' | fill=6 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='0' | fill=9 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H23 | value='0' | fill=9 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A24 | value='12 month' | fill=6 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='SEP' | fill=6 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='12' | fill=6 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='114003-40' | fill=6 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='0' | fill=9 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H24 | value='0' | fill=9 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A25 | value='3month' | fill=6 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='OCT' | fill=6 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='3' | fill=6 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='114003-40' | fill=6 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='0' | fill=9 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H25 | value='0' | fill=9 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A26 | value='12 month' | fill=6 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='OCT' | fill=6 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='12' | fill=6 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='114003-40' | fill=6 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='-1.27897692436818e-13' | fill=9 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H26 | value='-1.27897692436818e-13' | fill=9 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A27 | value='3month' | fill=6 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='NOV' | fill=6 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='3' | fill=6 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='114003-40' | fill=6 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='0' | fill=9 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H27 | value='0' | fill=9 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A28 | value='12 month' | fill=6 | rows=[27] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B28 | value='NOV' | fill=6 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='12' | fill=6 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='114003-40' | fill=6 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='0' | fill=9 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H28 | value='0' | fill=9 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A29 | value='3month' | fill=6 | rows=[28] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B29 | value='DEC' | fill=6 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='3' | fill=6 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='114003-40' | fill=6 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='0' | fill=9 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H29 | value='0' | fill=9 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A30 | value='12 month' | fill=6 | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B30 | value='DEC' | fill=6 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='12' | fill=6 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='114003-40' | fill=6 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='208.35' | fill=9 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G30 | value='208.35' | fill=9 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='0' | fill=9 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A31 | value='2014' | fill=46 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell A32 | value='3month' | fill=46 | rows=[31] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B32 | value='JAN' | fill=46 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='3' | fill=46 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='114003-40' | fill=46 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='0' | fill=9 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H32 | value='0' | fill=9 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A33 | value='12 month' | fill=46 | rows=[32] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B33 | value='JAN' | fill=46 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='12' | fill=46 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='114003-40' | fill=46 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='416.696666666668' | fill=9 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G33 | value='208.35' | fill=9 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='208.346666666668' | fill=9 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A34 | value='3month' | fill=46 | rows=[33] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B34 | value='FEB' | fill=46 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='3' | fill=46 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='114003-40' | fill=46 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='0' | fill=9 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H34 | value='0' | fill=9 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A35 | value='12 month' | fill=46 | rows=[34] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B35 | value='FEB' | fill=46 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='12' | fill=46 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='114003-40' | fill=46 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='749.996666666666' | fill=9 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G35 | value='250' | fill=9 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='499.996666666666' | fill=9 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A36 | value='3month' | fill=46 | rows=[35] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B36 | value='MAR' | fill=46 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='3' | fill=46 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='114003-40' | fill=46 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='0' | fill=9 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H36 | value='0' | fill=9 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A37 | value='12 month' | fill=46 | rows=[36] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B37 | value='MAR' | fill=46 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='12' | fill=46 | rows=[36] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='114003-40' | fill=46 | rows=[36] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='1120' | fill=9 | rows=[36] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G37 | value='280' | fill=9 | rows=[36] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='840' | fill=9 | rows=[36] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A38 | value='3month' | fill=46 | rows=[37] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B38 | value='APR' | fill=46 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='3' | fill=46 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='114003-40' | fill=46 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='0' | fill=9 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G38 | value='0' | fill=9 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H38 | value='0' | fill=9 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A39 | value='12 month' | fill=46 | rows=[38] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B39 | value='APR' | fill=46 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='12' | fill=46 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='114003-40' | fill=46 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='1000' | fill=9 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G39 | value='200' | fill=9 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='800' | fill=9 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A40 | value='3month' | fill=46 | rows=[39] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B40 | value='MAY' | fill=46 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='3' | fill=46 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='114003-40' | fill=46 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='0' | fill=9 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G40 | value='0' | fill=9 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='0' | fill=9 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A41 | value='12 month' | fill=46 | rows=[40] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B41 | value='MAY' | fill=46 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='12' | fill=46 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='114003-40' | fill=46 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E41 | value='-1.4210854715202e-13' | fill=9 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H41 | value='-1.4210854715202e-13' | fill=9 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A42 | value='3month' | fill=46 | rows=[41] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B42 | value='JUN' | fill=46 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C42 | value='3' | fill=46 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='114003-40' | fill=46 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E42 | value='0' | fill=9 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H42 | value='0' | fill=9 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A43 | value='12 month' | fill=46 | rows=[42] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B43 | value='JUN' | fill=46 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C43 | value='12' | fill=46 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='114003-40' | fill=46 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='1166.65' | fill=9 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G43 | value='166.67' | fill=9 | rows=[42] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H43 | value='999.98' | fill=9 | rows=[42] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A44 | value='3month' | fill=46 | rows=[43] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B44 | value='JUL' | fill=46 | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C44 | value='3' | fill=46 | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D44 | value='114003-40' | fill=46 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E44 | value='0' | fill=9 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H44 | value='0' | fill=9 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A45 | value='12 month' | fill=46 | rows=[44] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B45 | value='JUL' | fill=46 | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C45 | value='12' | fill=46 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D45 | value='114003-40' | fill=46 | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E45 | value='2266.66' | fill=9 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G45 | value='283.33' | fill=9 | rows=[44] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='1983.33' | fill=9 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A46 | value='3month' | fill=46 | rows=[45] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B46 | value='AUG' | fill=46 | rows=[45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C46 | value='3' | fill=46 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D46 | value='114003-40' | fill=46 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E46 | value='0' | fill=9 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H46 | value='0' | fill=9 | rows=[45] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A47 | value='12 month' | fill=46 | rows=[46] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B47 | value='AUG' | fill=46 | rows=[46] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C47 | value='12' | fill=46 | rows=[46] | cols=[2] | col_header=False | row_header=False | metadata=False
