=== education-table24.xlsx ===
Cell A1 | value='State' | fill=FFFFFF00 | rows=[0, 1, 2] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B11 | value='342' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='229' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='66.9591' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='68' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='19.883' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='342' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='100' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Delaware' | fill=None | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='77' | fill=None | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='45' | fill=None | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='58.4416' | fill=None | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='17' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='22.0779' | fill=None | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='77' | fill=None | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='100' | fill=None | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A13 | value='District of Columbia' | fill=00000000 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='74' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='33' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='44.5946' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='6' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='8.1081' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='74' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='100' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Florida' | fill=None | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='1385' | fill=None | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='1012' | fill=None | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='73.0686' | fill=None | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='633' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='45.704' | fill=None | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='1385' | fill=None | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='100' | fill=None | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Georgia' | fill=00000000 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='679' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='387' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='56.9956' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='42' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='6.1856' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='679' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='100' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Hawaii' | fill=None | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='84' | fill=None | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='57' | fill=None | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='67.8571' | fill=None | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='10' | fill=None | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='11.9048' | fill=None | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='84' | fill=None | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='100' | fill=None | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Idaho' | fill=00000000 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='220' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='133' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='60.4545' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='41' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='18.6364' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='220' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='100' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Illinois' | fill=None | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='1537' | fill=None | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='864' | fill=None | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='56.213402732596' | fill=None | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='181' | fill=None | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='11.7762' | fill=None | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='1537' | fill=None | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='100' | fill=None | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Indiana' | fill=00000000 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='518' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='426' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='82.2394' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='138' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='26.6409' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='518' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='100' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Iowa' | fill=None | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='394' | fill=None | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='301' | fill=None | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='76.3959' | fill=None | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='65' | fill=None | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='16.497461928934' | fill=None | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='394' | fill=None | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='100' | fill=None | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Kansas' | fill=00000000 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='417' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='263' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='63.0695' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='80' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='19.1847' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='417' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='100' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Kentucky' | fill=None | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='441' | fill=None | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='235' | fill=None | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='53.288' | fill=None | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='94' | fill=None | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='21.3152' | fill=None | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='441' | fill=None | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='100' | fill=None | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A23 | value='Louisiana' | fill=00000000 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='557' | fill=00000000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='223' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='40.0359' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='24' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='4.3088' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='557' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='100' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Maine' | fill=None | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='205' | fill=None | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='136' | fill=None | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='66.3415' | fill=None | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='47' | fill=None | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='22.9268' | fill=None | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='205' | fill=None | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='100' | fill=None | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Maryland' | fill=00000000 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='404' | fill=00000000 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='252' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='62.3762' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='136' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='33.6634' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='404' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='100' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Massachusetts' | fill=None | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='520' | fill=None | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='316' | fill=None | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='60.7692' | fill=None | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='38' | fill=None | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='7.3077' | fill=None | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='521' | fill=None | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='99.808' | fill=None | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A27 | value='Michigan' | fill=00000000 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='1191' | fill=00000000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='707' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='59.3619' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='229' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='19.2275' | fill=00000000 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='1191' | fill=00000000 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='100' | fill=00000000 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Minnesota' | fill=None | rows=[27] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B28 | value='716' | fill=None | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='492' | fill=None | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='68.7151' | fill=None | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='174' | fill=None | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='24.3017' | fill=None | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='716' | fill=None | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='100' | fill=None | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A29 | value='Mississippi' | fill=00000000 | rows=[28] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B29 | value='337' | fill=00000000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='83' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='24.6291' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='2' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='0.5935' | fill=00000000 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='337' | fill=00000000 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='100' | fill=00000000 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A30 | value='Missouri' | fill=None | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B30 | value='783' | fill=None | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='448' | fill=None | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='57.2158' | fill=None | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='62' | fill=None | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='7.9183' | fill=None | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='783' | fill=None | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='100' | fill=None | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A31 | value='Montana' | fill=00000000 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B31 | value='308' | fill=00000000 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='142' | fill=00000000 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='46.1039' | fill=00000000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='21' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='6.8182' | fill=00000000 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='308' | fill=00000000 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='100' | fill=00000000 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A32 | value='Nebraska' | fill=None | rows=[31] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B32 | value='323' | fill=None | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='225' | fill=None | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='69.6594' | fill=None | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='43' | fill=None | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='13.312693498452' | fill=None | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='323' | fill=None | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='100' | fill=None | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A33 | value='Nevada' | fill=00000000 | rows=[32] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B33 | value='177' | fill=00000000 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='125' | fill=00000000 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='70.6215' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='33' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F33 | value='18.6441' | fill=00000000 | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G33 | value='177' | fill=00000000 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='100' | fill=00000000 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A34 | value='New Hampshire' | fill=None | rows=[33] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B34 | value='148' | fill=None | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='92' | fill=None | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='62.1622' | fill=None | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='15' | fill=None | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='10.1351' | fill=None | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G34 | value='148' | fill=None | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='100' | fill=None | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A35 | value='New Jersey' | fill=00000000 | rows=[34] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B35 | value='815' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='593' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='72.760736196319' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='143' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='17.546' | fill=00000000 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='815' | fill=00000000 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
