=== economy-table73.xlsx ===
Cell D1 | value='CASH BOOK - DO NOT PRINT' | fill=FF00B0F0 | rows=[0] | cols=[3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=True
Cell O3 | value='GST' | fill=FFFFFF00 | rows=[2] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell G4 | value='N00' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='N00' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='N00' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='N00' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='S10' | fill=00000000 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='S10' | fill=00000000 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='N00' | fill=00000000 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell O4 | value='@ 10%' | fill=FFFFFF00 | rows=[3] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell A5 | value='1' | fill=30 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='EFTPOS' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='2013-10-30 00:00:00' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='230' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='Fred Smith' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='20' | fill=42 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='20' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell O5 | value='0' | fill=27 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A6 | value='2' | fill=30 | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Cheque' | fill=00000000 | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='2013-10-30 00:00:00' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='231' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='John Doe' | fill=00000000 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='40' | fill=42 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H6 | value='40' | fill=00000000 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell O6 | value='0' | fill=27 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A7 | value='3' | fill=30 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='EFTPOS' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='2013-10-30 00:00:00' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='232' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='Luke Harris' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='60' | fill=42 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I7 | value='60' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell O7 | value='0' | fill=27 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A8 | value='4' | fill=30 | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Cash' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='2013-10-31 00:00:00' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='233' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='Darren Loser' | fill=00000000 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='20' | fill=42 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell J8 | value='20' | fill=00000000 | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell O8 | value='0' | fill=27 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A9 | value='5' | fill=30 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Cheque' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='2013-11-01 00:00:00' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='234' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='Brad Walks' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='44' | fill=42 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell K9 | value='40' | fill=00000000 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell O9 | value='4' | fill=27 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A10 | value='6' | fill=30 | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='EFTPOS' | fill=00000000 | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='2013-11-01 00:00:00' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='235' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='Erin Win' | fill=00000000 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='66' | fill=42 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell L10 | value='60' | fill=00000000 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O10 | value='6' | fill=27 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A11 | value='7' | fill=30 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='Cash' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='2013-11-02 00:00:00' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='236' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='Jane Doe' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='80' | fill=42 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell M11 | value='80' | fill=00000000 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell O11 | value='0' | fill=27 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A12 | value='8' | fill=30 | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Cheque' | fill=00000000 | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='2013-11-02 00:00:00' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='237' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='Hanry Whinst' | fill=00000000 | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='20' | fill=42 | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell N12 | value='20' | fill=00000000 | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='0' | fill=27 | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A13 | value='9' | fill=30 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='Cheque' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='2013-11-02 00:00:00' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='238' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='Fred Brown' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='55' | fill=42 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell K13 | value='50' | fill=00000000 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell O13 | value='5' | fill=27 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell F14 | value='0' | fill=42 | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell O14 | value='0' | fill=27 | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell E15 | value='TOTAL' | fill=FF00B050 | rows=[14] | cols=[4] | col_header=False | row_header=True | metadata=False
Cell F15 | value='405' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='20' | fill=FF00B0F0 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H15 | value='40' | fill=FF00B0F0 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I15 | value='60' | fill=FF00B0F0 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell J15 | value='20' | fill=FF00B0F0 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell K15 | value='90' | fill=FF00B0F0 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=True
Cell L15 | value='60' | fill=FF00B0F0 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=True
Cell M15 | value='80' | fill=FF00B0F0 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=True
Cell N15 | value='20' | fill=FF00B0F0 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=True
Cell O15 | value='15' | fill=00000000 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False

