=== education-table17.xlsx ===
Cell A1 | value='State' | fill=FFFFFF00 | rows=[0, 1] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell S4 | value='153346' | fill=None | rows=[3] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T4 | value='2.27813' | fill=None | rows=[3] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U4 | value='534739' | fill=None | rows=[3] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V4 | value='7.9442' | fill=None | rows=[3] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W4 | value='95507' | fill=None | rows=[3] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X4 | value='99.947' | fill=None | rows=[3] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Alabama' | fill=00000000 | rows=[4] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B5 | value='91696' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='992' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='1.0818' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='448' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='0.4886' | fill=00000000 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='3123' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='3.4058' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='28120' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='30.6666' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='57232' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='62.4149' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='46' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='0.0502' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='1735' | fill=00000000 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P5 | value='1.89212' | fill=00000000 | rows=[4] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='10780' | fill=00000000 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R5 | value='11.7562' | fill=00000000 | rows=[4] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S5 | value='922' | fill=00000000 | rows=[4] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T5 | value='1.0055' | fill=00000000 | rows=[4] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U5 | value='1709' | fill=00000000 | rows=[4] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V5 | value='1.8638' | fill=00000000 | rows=[4] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W5 | value='1397' | fill=00000000 | rows=[4] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X5 | value='100' | fill=00000000 | rows=[4] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A6 | value='Alaska' | fill=None | rows=[5] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B6 | value='29376' | fill=None | rows=[5] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C6 | value='9501' | fill=None | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='32.3427' | fill=None | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='1231' | fill=None | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='4.1905' | fill=None | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='1929' | fill=None | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='6.5666' | fill=None | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='843' | fill=None | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='2.8697' | fill=None | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='12152' | fill=None | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='41.3671' | fill=None | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M6 | value='1052' | fill=None | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N6 | value='3.5812' | fill=None | rows=[5] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O6 | value='2668' | fill=None | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P6 | value='9.08224' | fill=None | rows=[5] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='4876' | fill=None | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R6 | value='16.5986' | fill=None | rows=[5] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S6 | value='378' | fill=None | rows=[5] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T6 | value='1.28676' | fill=None | rows=[5] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U6 | value='4444' | fill=None | rows=[5] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V6 | value='15.128' | fill=None | rows=[5] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W6 | value='495' | fill=None | rows=[5] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X6 | value='100' | fill=None | rows=[5] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A7 | value='Arizona' | fill=00000000 | rows=[6] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B7 | value='178878' | fill=00000000 | rows=[6] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C7 | value='13168' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='7.3614' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='2300' | fill=00000000 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='1.2858' | fill=00000000 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='82083' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='45.8877' | fill=00000000 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='9119' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='5.0979' | fill=00000000 | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='67696' | fill=00000000 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='37.8448' | fill=00000000 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='695' | fill=00000000 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='0.3885' | fill=00000000 | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='3817' | fill=00000000 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='2.13386' | fill=00000000 | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='23810' | fill=00000000 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='13.3107' | fill=00000000 | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='2701' | fill=00000000 | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='1.50997' | fill=00000000 | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='13184' | fill=00000000 | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='7.3704' | fill=00000000 | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='1913' | fill=00000000 | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='100' | fill=00000000 | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A8 | value='Arkansas' | fill=None | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='54783' | fill=None | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='472' | fill=None | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='0.8616' | fill=None | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='434' | fill=None | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='0.7922' | fill=None | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='5536' | fill=None | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='10.1053' | fill=None | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='12692' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='23.1678' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='34057' | fill=None | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='62.1671' | fill=None | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='681' | fill=None | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='1.2431' | fill=None | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='911' | fill=None | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='1.66292' | fill=None | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='6595' | fill=None | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='12.0384' | fill=None | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='1717' | fill=None | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='3.13418' | fill=None | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='3891' | fill=None | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='7.1026' | fill=None | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='1085' | fill=None | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='100' | fill=None | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A9 | value='California' | fill=00000000 | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='729338' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='8744' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='1.1989' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='32577' | fill=00000000 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='4.4667' | fill=00000000 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='411668' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='56.4441' | fill=00000000 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='73756' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='10.1127' | fill=00000000 | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='175522' | fill=00000000 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='24.0659' | fill=00000000 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='6489' | fill=00000000 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='0.8897' | fill=00000000 | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='20582' | fill=00000000 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='2.82201' | fill=00000000 | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='120708' | fill=00000000 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='16.5504' | fill=00000000 | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='10543' | fill=00000000 | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='1.44556' | fill=00000000 | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='145291' | fill=00000000 | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V9 | value='19.9209' | fill=00000000 | rows=[8] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W9 | value='9883' | fill=00000000 | rows=[8] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X9 | value='99.98' | fill=00000000 | rows=[8] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Colorado' | fill=None | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='139970' | fill=None | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='1535' | fill=None | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='1.0967' | fill=None | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='2519' | fill=None | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='1.7997' | fill=None | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='62426' | fill=None | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='44.5996' | fill=None | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='8912' | fill=None | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='6.3671' | fill=None | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='59652' | fill=None | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='42.6177' | fill=None | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='353' | fill=None | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='0.2522' | fill=None | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='4573' | fill=None | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='3.26713' | fill=None | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='19335' | fill=None | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='13.8137' | fill=None | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='1776' | fill=None | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='1.26884' | fill=None | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='16488' | fill=None | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V10 | value='11.7797' | fill=None | rows=[9] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W10 | value='1841' | fill=None | rows=[9] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X10 | value='100' | fill=None | rows=[9] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Connecticut' | fill=00000000 | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='77731' | fill=00000000 | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='210' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='0.2702' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='3699' | fill=00000000 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='4.7587' | fill=00000000 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='22747' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='29.2637' | fill=00000000 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='14107' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='18.1485' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='34702' | fill=00000000 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='44.6437' | fill=00000000 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M11 | value='94' | fill=00000000 | rows=[10] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N11 | value='0.1209' | fill=00000000 | rows=[10] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O11 | value='2172' | fill=00000000 | rows=[10] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P11 | value='2.79425' | fill=00000000 | rows=[10] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q11 | value='13926' | fill=00000000 | rows=[10] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R11 | value='17.9156' | fill=00000000 | rows=[10] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S11 | value='3706' | fill=00000000 | rows=[10] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T11 | value='4.76772' | fill=00000000 | rows=[10] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U11 | value='6765' | fill=00000000 | rows=[10] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V11 | value='8.7031' | fill=00000000 | rows=[10] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W11 | value='1140' | fill=00000000 | rows=[10] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X11 | value='99.912' | fill=00000000 | rows=[10] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Delaware' | fill=None | rows=[11] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B12 | value='19977' | fill=None | rows=[11] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C12 | value='93' | fill=None | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='0.4655' | fill=None | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E12 | value='326' | fill=None | rows=[11] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F12 | value='1.6319' | fill=None | rows=[11] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G12 | value='2851' | fill=None | rows=[11] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H12 | value='14.2714' | fill=None | rows=[11] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I12 | value='7434' | fill=None | rows=[11] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J12 | value='37.2128' | fill=None | rows=[11] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K12 | value='8792' | fill=None | rows=[11] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L12 | value='44.0106' | fill=None | rows=[11] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M12 | value='10' | fill=None | rows=[11] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N12 | value='0.0501' | fill=None | rows=[11] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O12 | value='471' | fill=None | rows=[11] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P12 | value='2.35771' | fill=None | rows=[11] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q12 | value='4021' | fill=None | rows=[11] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R12 | value='20.1281' | fill=None | rows=[11] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S12 | value='684' | fill=None | rows=[11] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T12 | value='3.42394' | fill=None | rows=[11] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U12 | value='864' | fill=None | rows=[11] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V12 | value='4.325' | fill=None | rows=[11] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W12 | value='227' | fill=None | rows=[11] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X12 | value='100' | fill=None | rows=[11] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A13 | value='District of Columbia' | fill=00000000 | rows=[12] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B13 | value='23601' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='20' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='0.0847' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E13 | value='189' | fill=00000000 | rows=[12] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F13 | value='0.8008' | fill=00000000 | rows=[12] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G13 | value='2902' | fill=00000000 | rows=[12] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H13 | value='12.2961' | fill=00000000 | rows=[12] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I13 | value='19276' | fill=00000000 | rows=[12] | cols=[8] | col_header=False | row_header=False | metadata=False
